num_date_time,answer
1_20220825 00,2045.136715116432
1_20220825 01,1996.4885213893338
1_20220825 02,1855.874486154221
1_20220825 03,1803.2977711295894
1_20220825 04,1828.7267979456608
1_20220825 05,1916.3944627075482
1_20220825 06,2201.2324170912298
1_20220825 07,2384.9545011651408
1_20220825 08,2832.2133095492973
1_20220825 09,3376.395753674237
1_20220825 10,3955.1010847636294
1_20220825 11,4006.587586081649
1_20220825 12,4101.77460776796
1_20220825 13,4157.448104412211
1_20220825 14,4322.280545183266
1_20220825 15,3619.0712698845073
1_20220825 16,3860.8556466197524
1_20220825 17,3518.4778918612096
1_20220825 18,2685.1693061061087
1_20220825 19,2487.108417002649
1_20220825 20,2340.6694312246227
1_20220825 21,1930.6134678206708
1_20220825 22,1608.4813124089042
1_20220825 23,1991.1344831159422
1_20220826 00,2178.3449887847373
1_20220826 01,2073.882272107216
1_20220826 02,1886.1074032448093
1_20220826 03,1770.5221303248968
1_20220826 04,1803.0711252023975
1_20220826 05,1970.6187237506326
1_20220826 06,2186.75217827711
1_20220826 07,2335.2749479938097
1_20220826 08,2912.5606454458853
1_20220826 09,3330.700424228259
1_20220826 10,3906.26456059947
1_20220826 11,4232.674130152484
1_20220826 12,4225.032086464726
1_20220826 13,4232.224636364861
1_20220826 14,4160.253832221347
1_20220826 15,4026.8188250404023
1_20220826 16,4020.9811940779814
1_20220826 17,3470.909361489384
1_20220826 18,2637.6701117022385
1_20220826 19,2520.9469694617114
1_20220826 20,2360.880265731938
1_20220826 21,1959.4549094684453
1_20220826 22,1511.2962765009843
1_20220826 23,1985.8773371154614
1_20220827 00,2037.4969916020384
1_20220827 01,1906.5444687247443
1_20220827 02,1717.8866525328372
1_20220827 03,1661.420053062375
1_20220827 04,1662.2615763663864
1_20220827 05,1681.4627667993816
1_20220827 06,1848.6458131005345
1_20220827 07,1918.178523306977
1_20220827 08,2265.2431347218385
1_20220827 09,2606.318929518573
1_20220827 10,3223.6889672209636
1_20220827 11,3168.031667548713
1_20220827 12,3210.99482482026
1_20220827 13,3251.402577540493
1_20220827 14,3307.8198101641865
1_20220827 15,3248.6415332748647
1_20220827 16,3212.3173585704126
1_20220827 17,3025.1511237745567
1_20220827 18,2264.3558874682376
1_20220827 19,2145.635050125627
1_20220827 20,2038.3270693386576
1_20220827 21,1804.3998617281065
1_20220827 22,1421.272188149659
1_20220827 23,1763.2288969234178
