num_date_time,answer
1_20220825 00,2035.0027485288151
1_20220825 01,2027.2635218661403
1_20220825 02,1842.1768842823988
1_20220825 03,1789.9061424113947
1_20220825 04,1826.89588890889
1_20220825 05,1930.079206450783
1_20220825 06,2169.5214410001963
1_20220825 07,2499.0528638238884
1_20220825 08,2887.849694584377
1_20220825 09,3362.774403624375
1_20220825 10,3972.669888523422
1_20220825 11,4075.280244783302
1_20220825 12,4191.969876286305
1_20220825 13,4174.64892197556
1_20220825 14,4280.470194266679
1_20220825 15,3585.8633383712527
1_20220825 16,3801.9552285779387
1_20220825 17,3550.2723326077894
1_20220825 18,2764.3637394833218
1_20220825 19,2535.7302415132162
1_20220825 20,2427.5812403247887
1_20220825 21,2093.3963718662753
1_20220825 22,1704.6831389331983
1_20220825 23,2090.575264050231
1_20220826 00,2260.0050565007327
1_20220826 01,2064.033624884296
1_20220826 02,1883.7878197648251
1_20220826 03,1843.6952972534714
1_20220826 04,1852.5981508078478
1_20220826 05,2065.0055411005405
1_20220826 06,2305.892310347613
1_20220826 07,2575.222297601319
1_20220826 08,2945.630545524314
1_20220826 09,3385.0833963559076
1_20220826 10,3845.3095100868422
1_20220826 11,4238.10076263644
1_20220826 12,4206.845756255871
1_20220826 13,4270.183261805654
1_20220826 14,4199.275220514586
1_20220826 15,4168.16065926863
1_20220826 16,4108.52560928807
1_20220826 17,3512.667253052032
1_20220826 18,2776.3240978172803
1_20220826 19,2584.027555172702
1_20220826 20,2395.0720408630377
1_20220826 21,2004.1811040957716
1_20220826 22,1536.2412586032997
1_20220826 23,2050.777755247177
1_20220827 00,2002.195664902442
1_20220827 01,1894.996975960877
1_20220827 02,1840.1103853950574
1_20220827 03,1747.9618372440975
1_20220827 04,1721.1105982145377
1_20220827 05,1882.4227577999925
1_20220827 06,1999.3419423360353
1_20220827 07,2191.3487288001043
1_20220827 08,2453.165381140024
1_20220827 09,2713.3116417366095
1_20220827 10,3178.196069190458
1_20220827 11,3215.912544129193
1_20220827 12,3321.1467651064336
1_20220827 13,3323.070349093379
1_20220827 14,3389.2988701174186
1_20220827 15,3363.7826270686537
1_20220827 16,3310.7059879203557
1_20220827 17,3126.1269868531244
1_20220827 18,2506.9261165863645
1_20220827 19,2356.6927507296455
1_20220827 20,2217.092581057273
1_20220827 21,1922.1805712101764
1_20220827 22,1542.0291615913075
1_20220827 23,1849.7705352764974
1_20220828 00,1778.659756355701
1_20220828 01,1707.470031514228
1_20220828 02,1546.2526328357806
1_20220828 03,1515.7947024044613
1_20220828 04,1508.1590383273594
1_20220828 05,1582.7812265648972
1_20220828 06,1698.1081975307807
1_20220828 07,1717.6262268713656
1_20220828 08,1858.1446445876982
1_20220828 09,2285.2039119320266
1_20220828 10,2687.0675844827506
1_20220828 11,2859.91573052324
1_20220828 12,2909.056799614481
1_20220828 13,2954.4628617580697
1_20220828 14,2979.6943106221092
1_20220828 15,3056.2728733378717
1_20220828 16,2994.390570218585
1_20220828 17,2943.168299208137
1_20220828 18,2628.146889628875
1_20220828 19,2436.3519209440005
1_20220828 20,2255.562215899857
1_20220828 21,1997.0872017514796
1_20220828 22,1622.1479982189123
1_20220828 23,1976.021697974681
1_20220829 00,2242.4702362103144
1_20220829 01,2127.7415018080487
1_20220829 02,1998.6418700833503
1_20220829 03,1949.3756057407345
1_20220829 04,1991.1978976624487
1_20220829 05,2070.1655683166737
1_20220829 06,2197.0961341640254
1_20220829 07,2329.0497972534295
1_20220829 08,2562.3066693141845
1_20220829 09,2760.5460378314415
1_20220829 10,3104.7407413538403
1_20220829 11,3272.5725856598683
1_20220829 12,3202.6103223743335
1_20220829 13,3540.011010023198
1_20220829 14,3395.208761468541
1_20220829 15,3509.2025490798856
1_20220829 16,3347.15233047816
1_20220829 17,3000.9407140960193
1_20220829 18,2438.542344594147
1_20220829 19,2327.5710068404496
1_20220829 20,2220.543915792001
1_20220829 21,1923.6280882873111
1_20220829 22,1555.2224239073753
1_20220829 23,1977.3100929140164
1_20220830 00,2193.932993518676
1_20220830 01,2091.669999948789
1_20220830 02,1842.93921517334
1_20220830 03,1707.8602608402025
1_20220830 04,1753.43782162756
1_20220830 05,1984.2317300937693
1_20220830 06,2145.1096961834955
1_20220830 07,2414.2517959930647
1_20220830 08,2638.556150744609
1_20220830 09,2926.060455353704
1_20220830 10,3301.8806743222253
1_20220830 11,3467.1932008971207
1_20220830 12,3447.6110030863556
1_20220830 13,3417.6435586506686
1_20220830 14,3489.5832164769845
1_20220830 15,3506.955603463947
1_20220830 16,3418.099856573508
1_20220830 17,3198.6275646911126
1_20220830 18,2479.8346073435146
1_20220830 19,2445.926847335997
1_20220830 20,2430.8943033368464
1_20220830 21,2008.4721399323237
1_20220830 22,1693.6841912723103
1_20220830 23,2093.610168793324
1_20220831 00,2261.713540950929
1_20220831 01,2079.431773043207
1_20220831 02,2004.165215169889
1_20220831 03,1886.9962080346634
1_20220831 04,1940.130213695188
1_20220831 05,2039.3182433180252
1_20220831 06,2165.3000650429376
1_20220831 07,2405.179769817283
1_20220831 08,2694.397058214725
1_20220831 09,2996.3924606954793
1_20220831 10,3654.8630331278
1_20220831 11,3887.43328608052
1_20220831 12,3974.5652448536175
1_20220831 13,3961.8819763295714
1_20220831 14,3939.640204425009
1_20220831 15,3857.4588897062426
1_20220831 16,3785.043685651726
1_20220831 17,3431.6251340647705
1_20220831 18,2593.259494585131
1_20220831 19,2481.296569662698
1_20220831 20,2293.5832134315633
1_20220831 21,1932.7186764899932
1_20220831 22,1588.5867883834337
1_20220831 23,2013.8505133029207
2_20220825 00,1291.1443651849106
2_20220825 01,1299.9441566587325
2_20220825 02,1269.7633221427934
2_20220825 03,1275.515257824484
2_20220825 04,1284.5360062227746
2_20220825 05,1266.5808470512186
2_20220825 06,1318.2276812993991
2_20220825 07,1250.1060199214655
2_20220825 08,1838.147995198898
2_20220825 09,2120.2342777683525
2_20220825 10,2360.0862724680946
2_20220825 11,2320.561606766758
2_20220825 12,2603.9468545747845
2_20220825 13,2508.6772916389145
2_20220825 14,2585.146761784526
2_20220825 15,2046.924424460647
2_20220825 16,2270.582463231131
2_20220825 17,2433.414336625298
2_20220825 18,2492.1674425610995
2_20220825 19,2355.135906006294
2_20220825 20,2196.505168320006
2_20220825 21,1828.2706776593436
2_20220825 22,1126.3226771103275
2_20220825 23,1365.357865976302
2_20220826 00,1305.301614853058
2_20220826 01,1314.4192510877037
2_20220826 02,1311.6793506144309
2_20220826 03,1286.7779670477341
2_20220826 04,1275.4527723699393
2_20220826 05,1253.4673316035492
2_20220826 06,1242.3736369010844
2_20220826 07,1213.7132505953987
2_20220826 08,1884.8277148287925
2_20220826 09,2126.356006384377
2_20220826 10,2308.442646258456
2_20220826 11,2372.8557737288193
2_20220826 12,2193.680936651394
2_20220826 13,2205.726769866012
2_20220826 14,2175.504850545127
2_20220826 15,2358.660840242256
2_20220826 16,2288.350462803987
2_20220826 17,2090.033342209636
2_20220826 18,2096.9815329055064
2_20220826 19,2011.099943778791
2_20220826 20,2078.6785697930713
2_20220826 21,1757.1820122336471
2_20220826 22,1057.1597966235322
2_20220826 23,1320.5552826467438
2_20220827 00,1320.0186410506128
2_20220827 01,1314.4356996507947
2_20220827 02,1304.6024303364356
2_20220827 03,1276.4405895514378
2_20220827 04,1260.0051553409
2_20220827 05,1060.0109552109204
2_20220827 06,1049.266365922747
2_20220827 07,939.644824416477
2_20220827 08,1555.9293430615846
2_20220827 09,1674.2152299338118
2_20220827 10,1880.6697620101465
2_20220827 11,1998.260748864232
2_20220827 12,2088.824311440923
2_20220827 13,2181.234204909328
2_20220827 14,2289.4112715029582
2_20220827 15,2272.153364041398
2_20220827 16,2298.4139074825644
2_20220827 17,2243.6418212580797
2_20220827 18,2144.591924483365
2_20220827 19,1834.3537683415548
2_20220827 20,1649.0399450522505
2_20220827 21,1342.5485491583142
2_20220827 22,860.8292156189169
2_20220827 23,1267.899636293483
2_20220828 00,1289.4737888116922
2_20220828 01,1272.846233711543
2_20220828 02,1287.9353057266615
2_20220828 03,1215.8020392335661
2_20220828 04,1151.2198836678517
2_20220828 05,968.9364828969599
2_20220828 06,889.3458379597163
2_20220828 07,914.1596596276396
2_20220828 08,1443.3477270069397
2_20220828 09,1663.5363675301535
2_20220828 10,1939.1687791539239
2_20220828 11,1946.411697256323
2_20220828 12,1993.1701269436194
2_20220828 13,2024.4457801399967
2_20220828 14,2135.862972463312
2_20220828 15,2197.565444889211
2_20220828 16,2171.1056867335355
2_20220828 17,2111.5787690016086
2_20220828 18,1973.8022414120614
2_20220828 19,1693.945165768235
2_20220828 20,1466.1728432284974
2_20220828 21,1282.1299765790723
2_20220828 22,855.901887906574
2_20220828 23,1283.4320368042797
2_20220829 00,1234.262793544683
2_20220829 01,1233.4270235538997
2_20220829 02,1222.2991571235555
2_20220829 03,1203.4082629351021
2_20220829 04,1196.3841189298093
2_20220829 05,1203.822373095249
2_20220829 06,1193.3093932782497
2_20220829 07,1212.0555306377744
2_20220829 08,1255.471429064195
2_20220829 09,1296.0396578076834
2_20220829 10,1339.8407513696282
2_20220829 11,1380.9966006721047
2_20220829 12,1371.4326466530192
2_20220829 13,1435.2972210883788
2_20220829 14,1374.0126700987375
2_20220829 15,1307.7924724358454
2_20220829 16,1361.9804116962507
2_20220829 17,1270.5217362809803
2_20220829 18,1237.0773788329739
2_20220829 19,1235.3908713200847
2_20220829 20,1197.2854055213184
2_20220829 21,1045.840218410188
2_20220829 22,855.3327845205606
2_20220829 23,1214.477762115533
2_20220830 00,1281.151850687618
2_20220830 01,1284.8219014488914
2_20220830 02,1295.3868951847858
2_20220830 03,1305.4938790004726
2_20220830 04,1275.6670061365214
2_20220830 05,1104.782467455627
2_20220830 06,1001.222455987666
2_20220830 07,1112.917751860293
2_20220830 08,1568.23640459844
2_20220830 09,1968.342769592327
2_20220830 10,2016.3207816956133
2_20220830 11,2003.215142856437
2_20220830 12,2161.727727007398
2_20220830 13,2156.969392743975
2_20220830 14,2182.577369046134
2_20220830 15,2349.3196810100653
2_20220830 16,2234.1165858208847
2_20220830 17,2377.002419880339
2_20220830 18,2488.184570902934
2_20220830 19,2350.1290083602034
2_20220830 20,2067.4271700202817
2_20220830 21,2037.198328247437
2_20220830 22,1318.3718746106701
2_20220830 23,1412.4196262192931
2_20220831 00,1336.6633204577352
2_20220831 01,1316.4678524308645
2_20220831 02,1318.446126452902
2_20220831 03,1322.0882988760266
2_20220831 04,1302.210690065043
2_20220831 05,1288.1258274847576
2_20220831 06,1246.3202875944878
2_20220831 07,1265.2779251762095
2_20220831 08,1765.2782588854195
2_20220831 09,2011.522065636934
2_20220831 10,2294.9105170157013
2_20220831 11,2249.6002998567624
2_20220831 12,2267.694162304553
2_20220831 13,2424.4328758186975
2_20220831 14,2442.5680246051675
2_20220831 15,2471.8719603158183
2_20220831 16,2616.9383913491383
2_20220831 17,2384.8832971779852
2_20220831 18,2156.8400602559454
2_20220831 19,2129.174914994369
2_20220831 20,2159.824858019388
2_20220831 21,1823.9366532224453
2_20220831 22,1183.7376088291396
2_20220831 23,1392.412542331154
3_20220825 00,1052.724070106878
3_20220825 01,1047.6914865633282
3_20220825 02,1041.957837630153
3_20220825 03,928.4415106205673
3_20220825 04,887.3471418886161
3_20220825 05,880.8486587097543
3_20220825 06,898.183882574877
3_20220825 07,1028.3617178017653
3_20220825 08,1108.3329425172315
3_20220825 09,1258.5574635790351
3_20220825 10,1402.4179492811738
3_20220825 11,1502.2708537284914
3_20220825 12,1634.7371527297105
3_20220825 13,1552.29899141164
3_20220825 14,1776.1222221307883
3_20220825 15,1607.1781188769037
3_20220825 16,1806.9430821592957
3_20220825 17,1714.013298820307
3_20220825 18,2154.482218037084
3_20220825 19,2239.9899596199525
3_20220825 20,2124.3546636541896
3_20220825 21,1620.3142402265164
3_20220825 22,1249.4026023714814
3_20220825 23,988.960638252481
3_20220826 00,940.7121987158686
3_20220826 01,903.3707652733942
3_20220826 02,898.755925054513
3_20220826 03,895.2366296477696
