num_date_time,answer
1_20220825 00,2062.6523287901496
1_20220825 01,2026.0156909072762
1_20220825 02,1877.4855055085045
1_20220825 03,1813.0444929856633
1_20220825 04,1831.8867407525336
1_20220825 05,1945.1594433515072
1_20220825 06,2153.9163731179283
1_20220825 07,2503.431139544885
1_20220825 08,2847.6752261805477
1_20220825 09,3358.799502393514
1_20220825 10,4057.8156353492404
1_20220825 11,4183.063890987215
1_20220825 12,4220.414038683994
1_20220825 13,4219.929863051012
1_20220825 14,4329.478430426153
1_20220825 15,3610.8179751644434
1_20220825 16,3817.7684619567676
1_20220825 17,3459.1994104224864
1_20220825 18,2737.7653927177366
1_20220825 19,2561.929593617318
1_20220825 20,2448.6285281243745
1_20220825 21,2074.1078963716473
1_20220825 22,1579.5489029125158
1_20220825 23,2077.8609967967586
1_20220826 00,2271.7555143634595
1_20220826 01,2119.411763948811
1_20220826 02,1905.4033226818112
1_20220826 03,1861.6112465526178
1_20220826 04,1852.3246921666964
1_20220826 05,2091.5383414446133
1_20220826 06,2318.154646263536
1_20220826 07,2504.262777745873
1_20220826 08,2914.7739647662875
1_20220826 09,3363.3366873078357
1_20220826 10,3939.1616965056387
1_20220826 11,4255.484574259368
1_20220826 12,4240.9026121386505
1_20220826 13,4273.776744651188
1_20220826 14,4224.293899563016
1_20220826 15,4170.522386980482
1_20220826 16,4110.779417097779
1_20220826 17,3512.8061671459495
1_20220826 18,2730.529720125863
1_20220826 19,2576.279294685238
1_20220826 20,2432.5269770026634
1_20220826 21,2043.8086554226081
1_20220826 22,1495.0580081482326
1_20220826 23,2067.2595554740265
1_20220827 00,2045.6653122465384
1_20220827 01,1928.4888667438702
1_20220827 02,1853.978740651281
1_20220827 03,1772.3629832023225
1_20220827 04,1749.3247230563309
1_20220827 05,1856.6271422026948
1_20220827 06,2015.1598889357829
1_20220827 07,2102.2166922522083
1_20220827 08,2452.6735531217105
1_20220827 09,2695.2730721393086
1_20220827 10,3223.8023213704428
1_20220827 11,3209.655960836501
1_20220827 12,3260.9136404599994
1_20220827 13,3279.458999088923
1_20220827 14,3330.6094026127325
1_20220827 15,3294.9595084843295
1_20220827 16,3258.578987625557
1_20220827 17,3125.804786401484
1_20220827 18,2536.192606329378
1_20220827 19,2345.0407213887843
1_20220827 20,2156.447976118799
1_20220827 21,1925.90049668683
1_20220827 22,1481.458022773658
1_20220827 23,1823.1695486382182
1_20220828 00,1689.9983221652717
1_20220828 01,1563.7306849728584
1_20220828 02,1411.873694668302
1_20220828 03,1423.3195997451687
1_20220828 04,1439.7848590817844
1_20220828 05,1499.1348890286827
1_20220828 06,1535.010066655273
1_20220828 07,1519.37417448924
1_20220828 08,1661.197839115281
1_20220828 09,2254.3596200166266
1_20220828 10,2682.535882047156
1_20220828 11,2860.4736265199494
1_20220828 12,2940.007093530932
1_20220828 13,2973.9557727088927
1_20220828 14,3000.5695460832817
1_20220828 15,3055.1366767860795
1_20220828 16,2991.8356586519953
1_20220828 17,2948.453791085689
1_20220828 18,2589.6207723530956
1_20220828 19,2491.071402127956
1_20220828 20,2221.8690521875665
1_20220828 21,1997.4246507499342
1_20220828 22,1511.2328043445846
1_20220828 23,1952.225557881852
1_20220829 00,2207.3682182242433
1_20220829 01,2099.9121166132013
1_20220829 02,1970.4255514908175
1_20220829 03,1914.6412411843228
1_20220829 04,1946.2914224570293
1_20220829 05,2027.5167480411199
1_20220829 06,2142.273950909316
1_20220829 07,2293.067807385432
1_20220829 08,2539.376351866717
1_20220829 09,2760.7225462472984
1_20220829 10,3189.7033634529257
1_20220829 11,3384.231368332348
1_20220829 12,3313.0045913394115
1_20220829 13,3571.579071762078
1_20220829 14,3444.0464979260996
