num_date_time,answer
1_20220825 00,2014.297443856091
1_20220825 01,2023.3433908150926
1_20220825 02,1855.747161662262
1_20220825 03,1808.7380628093404
1_20220825 04,1835.0593006803479
1_20220825 05,1921.902196569242
1_20220825 06,2140.2614675957725
1_20220825 07,2453.1145698879905
1_20220825 08,2892.834843231291
1_20220825 09,3372.5646567539275
1_20220825 10,4017.373231352252
1_20220825 11,4128.377960334853
1_20220825 12,4199.156498416853
1_20220825 13,4209.150284058281
1_20220825 14,4317.550983345114
1_20220825 15,3594.939923251386
1_20220825 16,3847.3408755999494
1_20220825 17,3519.5487860911007
1_20220825 18,2728.681837468463
1_20220825 19,2526.9945030051013
1_20220825 20,2394.925095372882
1_20220825 21,2075.9237312482132
1_20220825 22,1669.511957276624
1_20220825 23,2064.8341714107746
1_20220826 00,2259.463844079644
1_20220826 01,2092.704750589159
1_20220826 02,1901.1742598937112
1_20220826 03,1857.3443542241814
1_20220826 04,1861.49144361907
1_20220826 05,2073.380352573138
1_20220826 06,2303.629163496008
1_20220826 07,2525.519567674256
1_20220826 08,2953.0358043388455
1_20220826 09,3376.541401911334
1_20220826 10,3888.9691782079726
1_20220826 11,4244.542924446473
1_20220826 12,4222.508786439277
1_20220826 13,4267.936463190637
1_20220826 14,4197.5852965754275
1_20220826 15,4154.492012051262
1_20220826 16,4116.200295838017
1_20220826 17,3501.9281247907848
1_20220826 18,2756.1988183314907
1_20220826 19,2565.8823628825467
1_20220826 20,2363.902866225791
1_20220826 21,2001.684465988417
1_20220826 22,1518.8301479214485
1_20220826 23,2054.683163831314
1_20220827 00,2018.7872856625029
1_20220827 01,1883.9847174906852
1_20220827 02,1846.8220026392296
1_20220827 03,1742.219391136219
1_20220827 04,1716.2952589325246
1_20220827 05,1881.9348836241397
1_20220827 06,1986.2465896706847
1_20220827 07,2150.7262181416963
1_20220827 08,2440.489965545848
1_20220827 09,2731.9978602341484
1_20220827 10,3194.863884474075
1_20220827 11,3233.750619424429
1_20220827 12,3330.1915332814533
1_20220827 13,3341.8512697245724
1_20220827 14,3400.3203776156424
1_20220827 15,3381.1283644436876
1_20220827 16,3318.762456113113
1_20220827 17,3132.6760232522943
1_20220827 18,2511.2106663332083
1_20220827 19,2317.5649257099135
1_20220827 20,2179.617192118266
