num_date_time,answer
1_20220825 00,2081.4460241975466
1_20220825 01,1999.8513714046148
1_20220825 02,1896.238168982432
1_20220825 03,1720.485185281598
1_20220825 04,1730.327188994523
1_20220825 05,1843.2838325349499
1_20220825 06,2137.4234873030737
1_20220825 07,2415.506104180214
1_20220825 08,2904.9671591378087
1_20220825 09,3506.22951925481
1_20220825 10,4154.647690934254
1_20220825 11,4197.1351487254215
1_20220825 12,4211.023484196402
1_20220825 13,4212.28203385481
1_20220825 14,4295.354802017587
1_20220825 15,3559.736266893787
1_20220825 16,3966.9266351067954
1_20220825 17,3617.374446340616
1_20220825 18,2811.225852085123
1_20220825 19,2611.8675246069424
1_20220825 20,2514.66507421225
1_20220825 21,2041.4649515739927
1_20220825 22,1629.4326755979278
1_20220825 23,1998.9771006219269
1_20220826 00,2037.1368426324802
1_20220826 01,1897.887800260678
1_20220826 02,1798.8422434426757
1_20220826 03,1607.4681758988115
1_20220826 04,1650.622096612165
1_20220826 05,1798.1149118911014
1_20220826 06,2017.521056122092
1_20220826 07,2373.1242984189857
1_20220826 08,2953.111654740035
1_20220826 09,3468.4510994532266
1_20220826 10,4045.528754424237
1_20220826 11,4305.39566815585
1_20220826 12,4093.8424844022447
1_20220826 13,4266.841229296726
1_20220826 14,4160.421018077259
1_20220826 15,4233.424575219643
1_20220826 16,4176.244736299061
1_20220826 17,3459.947455079444
1_20220826 18,2771.035487773867
1_20220826 19,2656.018324125403
1_20220826 20,2491.4259482204943
1_20220826 21,2013.2859039038356
1_20220826 22,1541.1661614320374
1_20220826 23,1984.1627950187417
1_20220827 00,2011.2525528224792
1_20220827 01,1893.1332771415964
1_20220827 02,1696.8168473734856
1_20220827 03,1603.1519873466236
1_20220827 04,1594.0256825240458
1_20220827 05,1644.9900983218301
1_20220827 06,1799.828210765588
1_20220827 07,2085.0715893947545
1_20220827 08,2488.307920030209
1_20220827 09,2908.934576595838
1_20220827 10,3262.1619070033403
1_20220827 11,3251.2264572708286
1_20220827 12,3356.422205281719
1_20220827 13,3370.5638907290236
1_20220827 14,3391.4551829670277
1_20220827 15,3326.907523573546
1_20220827 16,3276.057169353986
1_20220827 17,3060.8221007019233
1_20220827 18,2562.378041423664
1_20220827 19,2508.3548453042126
1_20220827 20,2314.2483610716044
1_20220827 21,1898.8566120466767
1_20220827 22,1412.6114001078001
1_20220827 23,1786.459759212515
1_20220828 00,1462.479373507473
1_20220828 01,1352.0390941888732
1_20220828 02,1276.513595057423
1_20220828 03,1246.0828032590478
1_20220828 04,1259.2714000710564
1_20220828 05,1329.8578715016247
1_20220828 06,1412.0376358978879
1_20220828 07,1556.7478843793722
1_20220828 08,1953.6334439492698
1_20220828 09,2293.6851979048433
1_20220828 10,2650.245736640516
1_20220828 11,2793.8005199828012
1_20220828 12,2842.7907436373043
1_20220828 13,2899.3833097529996
1_20220828 14,2869.913359413875
1_20220828 15,2985.004871059243
1_20220828 16,2916.6577235118834
