num_date_time,answer
1_20220825 00,2076.1421837049456
1_20220825 01,2013.4975209758536
1_20220825 02,1906.7756058334521
1_20220825 03,1752.3438215891158
1_20220825 04,1753.363727262319
1_20220825 05,1856.765525976052
1_20220825 06,2086.633782520768
1_20220825 07,2412.2483194967945
1_20220825 08,2890.193310089803
1_20220825 09,3484.419995441449
1_20220825 10,4168.3475694586305
1_20220825 11,4232.019228972577
1_20220825 12,4159.400455039619
1_20220825 13,4174.5806758272065
1_20220825 14,4244.307596396795
1_20220825 15,3606.1627324405117
1_20220825 16,3935.3741967814963
1_20220825 17,3568.6395096328233
1_20220825 18,2870.544651574031
1_20220825 19,2658.5736612007104
1_20220825 20,2543.1075375530236
1_20220825 21,2024.8971834255585
1_20220825 22,1601.8016866197916
1_20220825 23,1988.7950750351013
1_20220826 00,2152.72573483714
1_20220826 01,1910.4180642572735
1_20220826 02,1795.36852364073
1_20220826 03,1669.1069461560235
1_20220826 04,1669.8128799073293
1_20220826 05,1882.7985038676331
1_20220826 06,2071.743714854111
1_20220826 07,2435.053361891391
1_20220826 08,2984.2139154248557
1_20220826 09,3477.1814652782937
1_20220826 10,4158.644698590128
1_20220826 11,4311.68204629741
1_20220826 12,4087.264359854697
1_20220826 13,4233.966715718909
1_20220826 14,4174.751707990367
1_20220826 15,4212.90682603599
1_20220826 16,4108.489043590764
1_20220826 17,3431.868592865359
1_20220826 18,2799.0658163925987
1_20220826 19,2698.158408894811
1_20220826 20,2515.484583763095
1_20220826 21,2057.736463273336
1_20220826 22,1566.389171503052
1_20220826 23,2004.4037433947315
1_20220827 00,2039.7428213552535
1_20220827 01,1952.3988161768148
1_20220827 02,1747.4431824533954
1_20220827 03,1597.8949649315762
1_20220827 04,1598.4599621666189
1_20220827 05,1693.6951343876435
1_20220827 06,1810.7249502714374
1_20220827 07,2358.133495081097
1_20220827 08,2566.784123663241
1_20220827 09,3072.786416696643
1_20220827 10,3432.890634409427
1_20220827 11,3444.441181572433
1_20220827 12,3455.027063772072
1_20220827 13,3458.4762716652504
1_20220827 14,3441.3165884615883
1_20220827 15,3374.4989983977484
1_20220827 16,3264.7061815231214
1_20220827 17,3020.4401484531554
1_20220827 18,2618.88977050313
1_20220827 19,2525.1710816609298
1_20220827 20,2380.2564361968157
1_20220827 21,1953.577702909015
1_20220827 22,1485.824267973232
1_20220827 23,1805.0994354720976
1_20220828 00,1552.9116273874654
1_20220828 01,1470.337895550068
1_20220828 02,1391.2553595659756
1_20220828 03,1324.8278079871181
1_20220828 04,1294.6053238330853
1_20220828 05,1341.5247414107191
1_20220828 06,1498.5631773538473
1_20220828 07,1728.561519270385
1_20220828 08,2110.488884338691
1_20220828 09,2398.590099295272
1_20220828 10,2728.029099518225
1_20220828 11,2853.978944654264
1_20220828 12,2888.4511158572045
1_20220828 13,3002.6899599518924
1_20220828 14,3018.5725384342572
1_20220828 15,3101.777598927424
1_20220828 16,3028.548466902228
1_20220828 17,2946.643245768972
1_20220828 18,2643.273294038934
1_20220828 19,2459.6787006102404
1_20220828 20,2274.3005872992458
1_20220828 21,1955.1253377521582
1_20220828 22,1588.386034404069
1_20220828 23,1946.216885537306
1_20220829 00,2102.429356864818
1_20220829 01,1974.535910603522
1_20220829 02,1870.5830875889458
1_20220829 03,1799.6778060925742
1_20220829 04,1816.4111826248882
1_20220829 05,1859.2418610822397
1_20220829 06,1935.0982082089397
1_20220829 07,2233.9696383467654
1_20220829 08,2593.5942690933066
1_20220829 09,2896.8213182864097
1_20220829 10,3253.699595905799
1_20220829 11,3353.0391864633766
1_20220829 12,3313.890767287699
1_20220829 13,3635.940409328388
1_20220829 14,3465.060162398402
1_20220829 15,3474.9433865849355
1_20220829 16,3433.7954414545393
1_20220829 17,3012.1786888580477
1_20220829 18,2548.3049218990595
1_20220829 19,2459.1935536784204
1_20220829 20,2310.130242769979
1_20220829 21,1907.6327102679725
1_20220829 22,1447.0364101919943
1_20220829 23,1862.0145642264108
1_20220830 00,2009.44851319912
1_20220830 01,1806.0869515584775
1_20220830 02,1652.982849401637
1_20220830 03,1461.1398480664468
1_20220830 04,1502.1030249627354
1_20220830 05,1698.5263806036785
1_20220830 06,2018.2832128516354
1_20220830 07,2361.151752990673
1_20220830 08,2899.7211334076246
1_20220830 09,3193.2321426833505
1_20220830 10,3658.4043798982443
1_20220830 11,3728.9343982673245
1_20220830 12,3756.991013510734
1_20220830 13,3795.523118806141
1_20220830 14,3816.3047749325397
1_20220830 15,3771.8678735706276
1_20220830 16,3724.8803906994813
1_20220830 17,3380.994800901491
1_20220830 18,2727.0590132321413
1_20220830 19,2674.445902123921
1_20220830 20,2499.894234206962
1_20220830 21,1912.5300647919337
1_20220830 22,1526.0863075202747
1_20220830 23,1904.3969394053343
1_20220831 00,1973.0608395621216
1_20220831 01,1792.789680947711
1_20220831 02,1731.2320055362468
1_20220831 03,1607.7938655229034
1_20220831 04,1694.8599387108136
1_20220831 05,1817.9629663019582
1_20220831 06,1915.9070713673998
1_20220831 07,2350.6795581500132
1_20220831 08,2716.928666559831
1_20220831 09,3095.2219727082706
1_20220831 10,3811.9024957411834
1_20220831 11,4071.8548477273707
1_20220831 12,4169.735773096342
1_20220831 13,4007.387457212199
1_20220831 14,4051.5869594470105
1_20220831 15,3985.4978576194253
1_20220831 16,3824.5618951874017
1_20220831 17,3485.2713180816204
1_20220831 18,2700.49897710411
1_20220831 19,2659.289052720315
1_20220831 20,2503.0583503056764
1_20220831 21,1925.7111253839932
1_20220831 22,1518.8781952751685
1_20220831 23,1888.6834879337773
2_20220825 00,1284.6815930728653
2_20220825 01,1310.1527063085207
2_20220825 02,1272.4664761309425
2_20220825 03,1239.2913148194339
2_20220825 04,1258.0699933014364
2_20220825 05,1206.9298061498373
2_20220825 06,1269.8560455462255
2_20220825 07,1242.2864033866763
2_20220825 08,1787.0742799378877
2_20220825 09,2108.774461210283
2_20220825 10,2379.718840385315
2_20220825 11,2294.3344428772275
2_20220825 12,2461.0553725578984
2_20220825 13,2487.3930513229375
2_20220825 14,2533.623883901041
2_20220825 15,2055.5204870713715
2_20220825 16,2329.8177272826756
2_20220825 17,2448.7484564254114
2_20220825 18,2427.1699684385935
2_20220825 19,2341.1938355151124
2_20220825 20,2147.7744931032416
2_20220825 21,1738.1141187194282
2_20220825 22,1105.903721963467
2_20220825 23,1359.6002296932024
2_20220826 00,1303.602917747238
2_20220826 01,1307.192116938566
2_20220826 02,1303.1212437090628
2_20220826 03,1233.8232125091859
2_20220826 04,1236.8156962809203
2_20220826 05,1202.3114828939667
2_20220826 06,1144.469027089849
2_20220826 07,1155.5039115697534
2_20220826 08,1792.2095504634526
2_20220826 09,2135.9074055594647
2_20220826 10,2332.1854345880784
2_20220826 11,2374.227937279666
2_20220826 12,2171.1195062717043
2_20220826 13,2289.490710715636
2_20220826 14,2247.1167929092067
2_20220826 15,2447.0769910659114
2_20220826 16,2404.9441780017255
2_20220826 17,2156.1311389064404
2_20220826 18,2082.7229798176545
2_20220826 19,1967.4706207405388
2_20220826 20,2036.774417847999
2_20220826 21,1673.790264503466
2_20220826 22,1056.3210921853338
2_20220826 23,1309.8430640499582
2_20220827 00,1312.3442596631019
2_20220827 01,1308.8748773361308
2_20220827 02,1295.8898441993447
2_20220827 03,1256.2104985527435
2_20220827 04,1206.7208086431506
2_20220827 05,1080.3200177258798
2_20220827 06,1084.4869230859233
2_20220827 07,997.8796511385913
2_20220827 08,1458.3993372224372
2_20220827 09,1588.709864851749
2_20220827 10,1787.051925790191
2_20220827 11,1971.3172704480685
2_20220827 12,2159.5023191778882
2_20220827 13,2261.854903561437
2_20220827 14,2430.9387935098985
