num_date_time,answer
1_20220825 00,2075.755631459596
1_20220825 01,1992.9062653143922
1_20220825 02,1899.7101298423026
1_20220825 03,1790.7256623952458
1_20220825 04,1764.1140778613465
1_20220825 05,1883.935071851951
1_20220825 06,2136.1291506356283
1_20220825 07,2431.5261734610594
1_20220825 08,2914.2949193034074
1_20220825 09,3470.195867665321
1_20220825 10,4159.938020096055
1_20220825 11,4209.617852203868
1_20220825 12,4181.280727850974
1_20220825 13,4239.473461886938
1_20220825 14,4309.720255130302
1_20220825 15,3696.8029792176235
1_20220825 16,3949.665726869844
1_20220825 17,3568.0946874101614
1_20220825 18,2836.6612434799563
1_20220825 19,2649.7111837707284
1_20220825 20,2543.909330307095
1_20220825 21,2039.0854246697859
1_20220825 22,1631.5287935899332
1_20220825 23,1960.429715072093
1_20220826 00,2064.595381034222
1_20220826 01,1876.2234895517536
1_20220826 02,1798.5432574805843
1_20220826 03,1619.2966949310844
1_20220826 04,1629.8330342099105
1_20220826 05,1833.4589400952584
1_20220826 06,2101.7433282638644
1_20220826 07,2481.6711434695426
1_20220826 08,3003.793438442336
1_20220826 09,3454.5569542868748
1_20220826 10,4105.097935123961
1_20220826 11,4322.534562030832
1_20220826 12,4149.12960209094
1_20220826 13,4245.905129708131
1_20220826 14,4159.436754059307
1_20220826 15,4228.469426366973
1_20220826 16,4157.925151916113
1_20220826 17,3397.576764637756
1_20220826 18,2812.1573920603937
1_20220826 19,2692.9937674003936
1_20220826 20,2510.1865287821684
1_20220826 21,2037.9138410584749
1_20220826 22,1556.078579539124
1_20220826 23,1982.7032914458596
1_20220827 00,2012.5355267434643
1_20220827 01,1913.008196351764
1_20220827 02,1725.9883492198146
1_20220827 03,1592.971538172261
1_20220827 04,1578.3626365775579
1_20220827 05,1686.2416443090456
1_20220827 06,1838.5341097788453
1_20220827 07,2114.7381778484
1_20220827 08,2565.393244869114
1_20220827 09,3044.496687836602
1_20220827 10,3463.850389132943
1_20220827 11,3406.869515418901
1_20220827 12,3419.219783124028
1_20220827 13,3474.519667664142
1_20220827 14,3424.4984072254197
1_20220827 15,3351.7473992585474
1_20220827 16,3244.5023308095465
1_20220827 17,2957.168786493272
1_20220827 18,2580.4968229261644
1_20220827 19,2557.248285327947
1_20220827 20,2407.6104013823247
1_20220827 21,1965.3647702858887
1_20220827 22,1490.9931566851137
1_20220827 23,1807.7479351870763
1_20220828 00,1460.5887019419806
1_20220828 01,1314.043439103257
1_20220828 02,1316.8576625621076
1_20220828 03,1263.4664565364533
1_20220828 04,1269.9630134316774
1_20220828 05,1339.5647640294274
1_20220828 06,1468.6971669623065
1_20220828 07,1589.9551039583457
1_20220828 08,2002.6506514986688
1_20220828 09,2337.5977002804525
1_20220828 10,2676.753566417156
1_20220828 11,2910.602759298387
1_20220828 12,2835.0487341778576
1_20220828 13,2945.1235949252455
1_20220828 14,2916.538345904861
1_20220828 15,2999.2047561947993
1_20220828 16,2980.7621115136685
1_20220828 17,2859.914160012758
1_20220828 18,2563.8340159051627
1_20220828 19,2339.9128400237623
1_20220828 20,2264.8326040388183
1_20220828 21,1976.159245497042
1_20220828 22,1582.1192081276276
1_20220828 23,1928.413409020641
1_20220829 00,2098.9233561845595
1_20220829 01,1980.3657149245664
1_20220829 02,1894.493901435117
1_20220829 03,1852.9075704659926
1_20220829 04,1860.4241507305887
1_20220829 05,1838.1349872535975
1_20220829 06,1975.5789220349088
1_20220829 07,2277.5570032517526
1_20220829 08,2614.374521673123
1_20220829 09,2929.8940132569833
1_20220829 10,3291.756757372857
1_20220829 11,3458.3642747104227
1_20220829 12,3440.5146943704553
1_20220829 13,3644.264995358703
1_20220829 14,3531.6056292643802
1_20220829 15,3541.4670213337968
1_20220829 16,3507.2747386348005
1_20220829 17,3064.413456960176
1_20220829 18,2562.1063190195587
1_20220829 19,2489.0202137805786
1_20220829 20,2316.6783899313164
1_20220829 21,1927.8310930907703
1_20220829 22,1460.9799972159565
1_20220829 23,1893.1432246749353
1_20220830 00,1928.9117940996175
1_20220830 01,1797.3126128187264
1_20220830 02,1616.688917523304
1_20220830 03,1436.6386486546357
1_20220830 04,1533.258107922887
1_20220830 05,1812.6238170007646
1_20220830 06,2094.2359166568644
1_20220830 07,2394.5861024656065
1_20220830 08,2847.147274304202
1_20220830 09,3191.376410842401
1_20220830 10,3704.8092984361174
1_20220830 11,3919.7818861268192
1_20220830 12,3878.080238460953
1_20220830 13,3943.275426468387
1_20220830 14,3905.194762841603
