num_date_time,answer
1_20220825 00,1998.9984638092126
1_20220825 01,1893.1612842514655
1_20220825 02,1738.0218628135992
1_20220825 03,1661.4303718994881
1_20220825 04,1684.2640281867996
1_20220825 05,1834.1270366489334
1_20220825 06,2083.214945016836
1_20220825 07,2408.708100333925
1_20220825 08,2877.2986265206937
1_20220825 09,3445.6073302616664
1_20220825 10,4107.262357372282
1_20220825 11,4173.148915278646
1_20220825 12,4144.688671640894
1_20220825 13,4215.337442919424
1_20220825 14,4278.233193673233
1_20220825 15,3592.5488606638737
1_20220825 16,3864.8609559365595
1_20220825 17,3544.5886372946243
1_20220825 18,2835.3387628040823
1_20220825 19,2608.8730538401237
1_20220825 20,2538.20565672437
1_20220825 21,2031.7829896385233
1_20220825 22,1612.826258965551
1_20220825 23,1979.595167831803
1_20220826 00,2084.469362064237
1_20220826 01,1920.306633374235
1_20220826 02,1812.585382427817
1_20220826 03,1660.5868040373264
1_20220826 04,1664.175390519643
1_20220826 05,1877.6240625012201
1_20220826 06,2088.521781006384
1_20220826 07,2481.8423023122946
1_20220826 08,2933.868942575192
1_20220826 09,3444.276924718294
1_20220826 10,4025.367368981901
1_20220826 11,4347.9058593631225
1_20220826 12,4204.32699968983
1_20220826 13,4315.635523636647
1_20220826 14,4237.68284640092
1_20220826 15,4170.5364039314345
1_20220826 16,4162.703558731248
1_20220826 17,3466.825911662583
1_20220826 18,2874.2432395450805
1_20220826 19,2700.392743958204
1_20220826 20,2542.7190792599836
1_20220826 21,2013.7206155716915
1_20220826 22,1543.2691163594122
1_20220826 23,2012.6146602008318
1_20220827 00,2047.1250549689023
1_20220827 01,1970.473849933512
1_20220827 02,1679.2702036408732
1_20220827 03,1568.3490509407338
1_20220827 04,1561.202862645659
1_20220827 05,1667.870883766378
1_20220827 06,1791.2753792080389
1_20220827 07,2101.028428457409
1_20220827 08,2480.2824581880836
1_20220827 09,2898.5339483709668
1_20220827 10,3352.3323505077806
1_20220827 11,3171.528618213094
1_20220827 12,3313.3160486228544
1_20220827 13,3346.913608216254
1_20220827 14,3395.739019368829
1_20220827 15,3395.785163624974
1_20220827 16,3354.506255203718
1_20220827 17,3082.125238741281
1_20220827 18,2548.0802279983973
1_20220827 19,2384.7157675774274
1_20220827 20,2277.409458058213
1_20220827 21,1866.2258383513945
1_20220827 22,1412.3956918415531
1_20220827 23,1758.7472095505946
1_20220828 00,1481.4557010337076
1_20220828 01,1355.947641981068
1_20220828 02,1282.187124067142
1_20220828 03,1235.281173471143
1_20220828 04,1235.250351126389
1_20220828 05,1326.3722723732371
1_20220828 06,1448.8982822691908
1_20220828 07,1571.4682002429959
1_20220828 08,1900.3878317173853
1_20220828 09,2287.0142050187897
1_20220828 10,2621.6374169166756
1_20220828 11,2817.994947122333
1_20220828 12,2860.017795058947
1_20220828 13,2937.9552493348633
1_20220828 14,2901.5790895853706
1_20220828 15,2980.0302714884533
1_20220828 16,2860.708679413996
1_20220828 17,2852.3387234656084
1_20220828 18,2540.382685539541
1_20220828 19,2312.443580210454
1_20220828 20,2279.2431509714424
1_20220828 21,1901.1538013022307
1_20220828 22,1535.7220552625042
1_20220828 23,1930.299969667934
1_20220829 00,2034.1547645885623
1_20220829 01,1867.1066130695465
1_20220829 02,1807.8735656712859
1_20220829 03,1709.3617088025585
1_20220829 04,1725.4276253545693
1_20220829 05,1763.8983997250243
1_20220829 06,1926.4284135633422
1_20220829 07,2245.2448394684006
1_20220829 08,2626.2690883621735
1_20220829 09,2960.9184721320207
1_20220829 10,3381.587131526235
1_20220829 11,3547.9748177367696
1_20220829 12,3447.0131745180506
1_20220829 13,3763.5777594371557
1_20220829 14,3534.756129395928
1_20220829 15,3570.2964538443944
1_20220829 16,3500.9429842067802
1_20220829 17,3035.0696054684713
1_20220829 18,2611.483595711426
1_20220829 19,2495.394635690609
1_20220829 20,2332.597834848908
1_20220829 21,1915.3709397391315
1_20220829 22,1445.3904007306232
1_20220829 23,1860.2356921710925
1_20220830 00,1913.647013999195
1_20220830 01,1742.7982089840166
1_20220830 02,1597.3639494479517
1_20220830 03,1456.5625544083864
1_20220830 04,1511.7507432620373
1_20220830 05,1730.3443458956099
1_20220830 06,1954.0648550792862
1_20220830 07,2373.9794010136166
1_20220830 08,2791.9663654659803
1_20220830 09,3172.1592418968257
1_20220830 10,3607.4071450999377
1_20220830 11,3626.6237999093396
1_20220830 12,3819.938291102506
1_20220830 13,3825.4489874836813
1_20220830 14,3724.861482534969
1_20220830 15,3860.1195764694676
1_20220830 16,3820.054887850294
1_20220830 17,3455.2596324999577
1_20220830 18,2741.8261893213785
1_20220830 19,2680.339057971948
1_20220830 20,2484.078730120547
1_20220830 21,1943.648534832052
1_20220830 22,1561.0398215540272
1_20220830 23,1939.334439243405
1_20220831 00,2103.388225668391
1_20220831 01,1956.105289750018
1_20220831 02,1868.5619100519439
1_20220831 03,1742.794135711666
1_20220831 04,1797.8824784307524
1_20220831 05,1914.130192422608
1_20220831 06,2055.7057831762113
1_20220831 07,2378.4515207116037
1_20220831 08,2734.3101572106793
1_20220831 09,3160.9268719075567
1_20220831 10,3856.8138783051622
1_20220831 11,4037.111581770569
1_20220831 12,4122.907133545208
1_20220831 13,3986.5159999235225
1_20220831 14,4036.066434214063
1_20220831 15,3944.5832711721564
1_20220831 16,3810.144291169329
1_20220831 17,3388.770963151956
1_20220831 18,2638.760325117755
1_20220831 19,2594.2102373006855
1_20220831 20,2417.90621393508
1_20220831 21,1880.6216143254692
1_20220831 22,1506.5866852007275
1_20220831 23,1836.9434783500446
