num_date_time,answer
1_20220825 00,2043.7951368528627
1_20220825 01,2011.2004847897538
1_20220825 02,1914.156491249607
1_20220825 03,1787.610672300864
1_20220825 04,1772.7684043142845
1_20220825 05,1912.9744323252737
1_20220825 06,2131.4403580832036
1_20220825 07,2442.7374467002105
1_20220825 08,2960.5090497893552
1_20220825 09,3505.6404192271
1_20220825 10,4139.613194481073
1_20220825 11,4182.166424678757
1_20220825 12,4160.80615661103
1_20220825 13,4221.439383294412
1_20220825 14,4231.673116972263
1_20220825 15,3663.925264564553
1_20220825 16,3926.8516225134335
1_20220825 17,3529.06817429852
1_20220825 18,2856.7218265885554
1_20220825 19,2632.2935192637638
1_20220825 20,2509.0493215947668
1_20220825 21,2023.455704360169
1_20220825 22,1634.6340137907741
1_20220825 23,1969.0680421048899
1_20220826 00,2130.9836996632625
1_20220826 01,1939.332804595427
1_20220826 02,1822.9749100201814
1_20220826 03,1676.0155049805696
1_20220826 04,1673.6130093386455
1_20220826 05,1928.6397506616686
1_20220826 06,2074.113630138181
1_20220826 07,2443.9516553385097
1_20220826 08,2988.1294882993734
1_20220826 09,3469.9904367565505
1_20220826 10,4084.6822920909353
1_20220826 11,4336.556934627077
1_20220826 12,4115.046684466556
1_20220826 13,4237.35117246344
1_20220826 14,4177.145788910843
1_20220826 15,4201.707612385604
1_20220826 16,4148.2960071991465
1_20220826 17,3424.7015453714175
1_20220826 18,2808.899560230738
1_20220826 19,2701.519031781008
1_20220826 20,2520.1378679827512
1_20220826 21,2030.7003188959786
1_20220826 22,1556.5661888631962
1_20220826 23,1991.391677380983
1_20220827 00,2016.9260281723873
1_20220827 01,1930.3874984137713
1_20220827 02,1784.1738450987473
1_20220827 03,1628.5100120105571
1_20220827 04,1622.1382638828213
1_20220827 05,1763.3185015710442
1_20220827 06,1824.6911730447582
1_20220827 07,2151.3882345846587
1_20220827 08,2549.4376447470363
1_20220827 09,2966.191288152667
1_20220827 10,3348.7681966461137
1_20220827 11,3416.4258850609494
1_20220827 12,3462.8516650377596
1_20220827 13,3457.3024901831495
1_20220827 14,3419.4653307039707
1_20220827 15,3333.5475687753974
1_20220827 16,3265.616074907707
1_20220827 17,2959.753109747848
1_20220827 18,2571.2023014410784
1_20220827 19,2540.590708700881
1_20220827 20,2344.193486602407
1_20220827 21,1959.8558290706258
1_20220827 22,1518.9236178018891
1_20220827 23,1826.9273804071104
1_20220828 00,1526.9240801165954
1_20220828 01,1459.2661521367934
1_20220828 02,1386.4785026072443
1_20220828 03,1279.172536024813
