num_date_time,answer
1_20220825 00,1990.1249279895433
1_20220825 01,1995.7354971875523
1_20220825 02,1944.1359844213523
1_20220825 03,1845.4969581797995
1_20220825 04,1772.4185025352572
1_20220825 05,1920.1055532811993
1_20220825 06,2122.187086863128
1_20220825 07,2465.409228787153
1_20220825 08,2960.2977006500864
1_20220825 09,3452.3809621793166
1_20220825 10,4068.6786300990148
1_20220825 11,4038.65831656627
1_20220825 12,4154.060635311082
1_20220825 13,4236.724834020622
1_20220825 14,4138.558883748256
1_20220825 15,3566.1711770938064
1_20220825 16,3840.800806132138
1_20220825 17,3472.503407346319
1_20220825 18,2783.189049198214
1_20220825 19,2597.75014237093
1_20220825 20,2464.3068202387044
1_20220825 21,2018.8261868690984
1_20220825 22,1601.9735063960459
1_20220825 23,2002.1748844350357
1_20220826 00,2111.216263697931
1_20220826 01,1851.5545363409858
1_20220826 02,1739.1991890290526
1_20220826 03,1656.5408859616423
1_20220826 04,1638.283118858582
1_20220826 05,1912.2032274973992
1_20220826 06,2086.728771699201
1_20220826 07,2377.6562891478334
1_20220826 08,2933.368039742212
1_20220826 09,3377.2605570616906
1_20220826 10,3931.3615757016014
1_20220826 11,4295.910414439806
1_20220826 12,4080.2678154186688
1_20220826 13,4217.605457444531
1_20220826 14,4140.579089244453
1_20220826 15,4214.386480706762
1_20220826 16,4143.65967175843
1_20220826 17,3419.5897301864666
1_20220826 18,2835.6564914246983
1_20220826 19,2738.5023475094404
1_20220826 20,2479.2373735370875
1_20220826 21,1987.4330285560573
1_20220826 22,1536.3530738112288
1_20220826 23,2024.216942128974
1_20220827 00,1991.140026337594
1_20220827 01,1884.793090819233
1_20220827 02,1760.4291843401738
1_20220827 03,1599.7903248421594
1_20220827 04,1593.4210497179035
1_20220827 05,1743.8261828839118
1_20220827 06,1721.7049650752713
1_20220827 07,2059.204478122302
1_20220827 08,2379.0654855858324
1_20220827 09,2795.907722259116
1_20220827 10,3260.825289832976
1_20220827 11,3232.704898762589
1_20220827 12,3329.62914097639
1_20220827 13,3402.836676065104
1_20220827 14,3450.6852344863323
1_20220827 15,3338.920328834398
1_20220827 16,3221.0673351058495
1_20220827 17,2969.1591068185667
1_20220827 18,2569.967511457673
1_20220827 19,2474.7492382532196
1_20220827 20,2310.5863839338413
1_20220827 21,1927.1977270204598
1_20220827 22,1428.4567251422854
1_20220827 23,1723.6777142440526
1_20220828 00,1359.4872931331995
1_20220828 01,1422.3473302438547
1_20220828 02,1333.3847808008852
1_20220828 03,1196.0583073556052
1_20220828 04,1160.5110454251246
1_20220828 05,1319.0342196479728
1_20220828 06,1399.1620216994081
1_20220828 07,1566.4537008679722
1_20220828 08,1837.2934945855627
1_20220828 09,2261.98899183859
1_20220828 10,2560.5277220849234
1_20220828 11,2828.021356071043
1_20220828 12,2817.79324180908
1_20220828 13,2866.825599390857
1_20220828 14,2864.9389076435423
1_20220828 15,2943.542614815043
1_20220828 16,2983.9483013702766
1_20220828 17,2844.0577747465877
1_20220828 18,2539.463868511206
1_20220828 19,2362.271965626618
1_20220828 20,2245.0234575869445
1_20220828 21,1916.774696767053
1_20220828 22,1574.0520460526839
1_20220828 23,1904.1105059354516
1_20220829 00,2144.2335651665353
1_20220829 01,1973.1338126697087
1_20220829 02,1891.2398168595168
1_20220829 03,1831.4823764446598
1_20220829 04,1849.1633542049508
1_20220829 05,1897.0516472094791
1_20220829 06,1903.9793494425028
1_20220829 07,2166.550749245341
1_20220829 08,2541.3083007092555
1_20220829 09,2854.2158665468687
1_20220829 10,3159.1300310729384
1_20220829 11,3292.013631376267
1_20220829 12,3331.4408930972772
1_20220829 13,3545.9311742303594
1_20220829 14,3400.3897898827636
1_20220829 15,3529.084669486781
1_20220829 16,3396.198050910498
1_20220829 17,3002.3530099042678
1_20220829 18,2499.276997730676
1_20220829 19,2372.402156747424
1_20220829 20,2257.0405012128713
1_20220829 21,1852.5927516674487
1_20220829 22,1455.9439111904585
1_20220829 23,1845.1823280516332
1_20220830 00,1895.6679843911115
1_20220830 01,1812.385823416852
1_20220830 02,1640.1957836266301
1_20220830 03,1443.5978482891994
1_20220830 04,1553.9597781224306
1_20220830 05,1763.1515681599199
1_20220830 06,1987.907932943885
1_20220830 07,2304.6341555949975
1_20220830 08,2659.8724572712686
1_20220830 09,3064.6558166908376
1_20220830 10,3402.902385148496
1_20220830 11,3726.9756901283886
1_20220830 12,3750.6337274134676
1_20220830 13,3836.4646703862145
1_20220830 14,3820.509020283578
1_20220830 15,3741.203206802087
1_20220830 16,3666.331339472322
1_20220830 17,3308.069157673243
1_20220830 18,2600.976875367887
1_20220830 19,2540.3106944076217
1_20220830 20,2375.33224633793
1_20220830 21,1877.0850473931075
1_20220830 22,1510.1073921395841
1_20220830 23,1889.3281105783105
1_20220831 00,1952.0766788692986
1_20220831 01,1798.6160082445358
1_20220831 02,1723.5807157896531
1_20220831 03,1649.1694733816194
1_20220831 04,1682.1092009553581
1_20220831 05,1808.9441982088372
1_20220831 06,1926.872314095692
1_20220831 07,2302.380341390754
1_20220831 08,2716.0232240901064
1_20220831 09,3133.642012262076
1_20220831 10,3795.0297156676274
1_20220831 11,4070.789197838184
1_20220831 12,4066.6723475971257
1_20220831 13,4036.79158999623
1_20220831 14,4023.805749253651
1_20220831 15,3897.0903632670143
1_20220831 16,3818.179377712669
1_20220831 17,3482.4105893395817
1_20220831 18,2714.435524982121
1_20220831 19,2536.9790400878423
1_20220831 20,2414.248240843658
1_20220831 21,1932.1993716474628
1_20220831 22,1549.8146739495005
1_20220831 23,1878.1076301118455
2_20220825 00,1270.8649259240665
2_20220825 01,1317.5415773843713
2_20220825 02,1277.7884880659285
2_20220825 03,1260.7058135152959
2_20220825 04,1259.6447513945443
2_20220825 05,1199.9558445752427
2_20220825 06,1260.3020773175867
2_20220825 07,1241.9097534181044
2_20220825 08,1754.0869558480301
2_20220825 09,2098.148166940628
2_20220825 10,2407.0078953973366
2_20220825 11,2254.425952796451
2_20220825 12,2469.461707251495
2_20220825 13,2489.770979402042
2_20220825 14,2535.501998022131
2_20220825 15,2003.2578470028398
