num_date_time,answer
1_20220825 00,2277.779088459418
1_20220825 01,2129.518908977478
1_20220825 02,2094.568663266588
1_20220825 03,1936.0964234055102
1_20220825 04,1935.9763794555008
1_20220825 05,2060.3959640158037
1_20220825 06,2209.294484996475
1_20220825 07,2429.967859564091
1_20220825 08,2891.672800897172
1_20220825 09,3439.3181416010666
1_20220825 10,4038.407334089562
1_20220825 11,4109.226521678706
1_20220825 12,4100.837169477652
1_20220825 13,4232.597981112951
1_20220825 14,4316.813491309919
1_20220825 15,3611.3022642849905
1_20220825 16,3864.2011935592645
1_20220825 17,3451.689731759522
1_20220825 18,2738.489421157436
1_20220825 19,2554.2355467456146
1_20220825 20,2459.3087485396827
1_20220825 21,2376.4434123610968
1_20220825 22,2147.710192765518
1_20220825 23,2537.1906197709986
1_20220826 00,2272.154783111721
1_20220826 01,2135.6983250101403
1_20220826 02,2063.1736465167055
1_20220826 03,1836.7633703477115
1_20220826 04,1844.437747983022
1_20220826 05,1956.2990874279435
1_20220826 06,1986.3443729157325
1_20220826 07,2226.498805622418
1_20220826 08,2859.588953536605
1_20220826 09,3403.5741065753223
1_20220826 10,4035.528096989326
1_20220826 11,4243.727079978845
1_20220826 12,4133.050428134828
1_20220826 13,4243.974728823345
1_20220826 14,4148.520563921262
1_20220826 15,4179.418074048011
1_20220826 16,4107.602574164637
1_20220826 17,3403.676972214328
1_20220826 18,2805.451760118049
1_20220826 19,2670.3567569983084
1_20220826 20,2505.551880295861
1_20220826 21,2423.118169164321
1_20220826 22,2143.963305766078
1_20220826 23,2616.5784698739326
1_20220827 00,2178.577798140267
1_20220827 01,2052.3109269414895
1_20220827 02,1980.9106053745538
1_20220827 03,1613.6092062003968
1_20220827 04,1733.052847814421
1_20220827 05,1679.6618365484098
1_20220827 06,1838.896341002308
1_20220827 07,1892.2481000715784
1_20220827 08,2499.6261288654423
1_20220827 09,3020.8298094616594
1_20220827 10,3466.1642695860473
1_20220827 11,3388.7807550766192
1_20220827 12,3443.0336965968354
1_20220827 13,3417.4366722564027
1_20220827 14,3390.905519597446
1_20220827 15,3307.4031985223965
1_20220827 16,3239.084175339663
1_20220827 17,2925.634744120548
1_20220827 18,2566.1522911941042
1_20220827 19,2487.930738270097
1_20220827 20,2226.259866685207
1_20220827 21,2276.0247338372624
1_20220827 22,2076.405643865731
1_20220827 23,2359.2311570966144
1_20220828 00,1547.69529004383
1_20220828 01,1357.9795501594597
1_20220828 02,1328.6350899994181
1_20220828 03,1360.9619077765215
1_20220828 04,1408.8133450975158
1_20220828 05,1488.6906365211487
1_20220828 06,1470.8698506633002
1_20220828 07,1554.1232297806966
1_20220828 08,1958.8483740683578
1_20220828 09,2379.321217012174
1_20220828 10,2633.046999242371
1_20220828 11,2847.812368136485
1_20220828 12,2894.1162400367625
1_20220828 13,2995.7836792238586
1_20220828 14,2953.077651336323
1_20220828 15,3024.1683760200217
1_20220828 16,3012.3789163588017
1_20220828 17,2890.8832414227263
1_20220828 18,2570.385162227392
1_20220828 19,2364.4285165462607
1_20220828 20,2240.4338613797095
1_20220828 21,2254.817977771383
1_20220828 22,2106.3809078203067
1_20220828 23,2351.9909539913324
1_20220829 00,2200.6280647574786
1_20220829 01,2098.357011563757
1_20220829 02,1975.9489031384944
1_20220829 03,1927.7811761391854
1_20220829 04,1935.1308874507063
1_20220829 05,1994.1116130338219
1_20220829 06,1932.8257672884338
1_20220829 07,2211.535578793438
1_20220829 08,2520.087109121509
1_20220829 09,2956.905401546734
1_20220829 10,2575.2752079763663
1_20220829 11,3312.50476534578
1_20220829 12,3708.787494734016
1_20220829 13,3797.523235288732
1_20220829 14,3485.0218344466857
1_20220829 15,3475.1418000089766
1_20220829 16,3450.05104330173
1_20220829 17,2962.284780029241
1_20220829 18,2527.6777348868904
1_20220829 19,2354.615009834962
1_20220829 20,2276.9794828308354
1_20220829 21,2219.7369602089493
1_20220829 22,2063.5502389071958
1_20220829 23,2401.9258148904155
1_20220830 00,2115.5960491562514
1_20220830 01,1957.6556148002405
1_20220830 02,1777.585076142237
1_20220830 03,1464.9304492797023
1_20220830 04,1540.0262350392338
1_20220830 05,1799.8450322415495
1_20220830 06,2051.9581370928627
1_20220830 07,2228.5983595288285
1_20220830 08,2533.332418097518
1_20220830 09,2563.368298202264
1_20220830 10,2913.274015623276
1_20220830 11,2959.561412986497
1_20220830 12,2983.7153092874732
1_20220830 13,3024.682028989317
1_20220830 14,2992.3899091768353
1_20220830 15,3153.1834935338816
1_20220830 16,3189.8977613752036
1_20220830 17,3014.170309136577
1_20220830 18,2450.6676302088113
1_20220830 19,2488.740128097463
1_20220830 20,2347.6605479565833
1_20220830 21,1926.3571867268251
1_20220830 22,1545.3296393643168
1_20220830 23,1922.9238591036262
1_20220831 00,1943.9765756449256
1_20220831 01,1790.3598788174113
1_20220831 02,1700.5124275671417
1_20220831 03,1567.1622457114297
1_20220831 04,1632.3900151268622
1_20220831 05,1767.0483293155278
1_20220831 06,1884.3014455662835
1_20220831 07,2040.82876754024
1_20220831 08,2475.755868857241
1_20220831 09,2493.7603366158637
1_20220831 10,3843.6286344981604
1_20220831 11,4038.707782607314
1_20220831 12,4084.5252845750983
1_20220831 13,3982.9920114689617
1_20220831 14,4001.5662823386965
1_20220831 15,3936.155553901004
1_20220831 16,3778.4242668093343
1_20220831 17,3375.2593265207393
1_20220831 18,2642.2122266651777
1_20220831 19,2570.269408359562
1_20220831 20,2396.440466684406
1_20220831 21,2242.730213109347
1_20220831 22,2115.7360157183475
1_20220831 23,2301.8094579382155
2_20220825 00,1275.3258911650573
2_20220825 01,1303.2505176045443
2_20220825 02,1278.825541741168
2_20220825 03,1216.1779964772625
2_20220825 04,1232.0633573015916
2_20220825 05,1169.87576210798
2_20220825 06,1221.7648434583475
2_20220825 07,1247.8868068573427
2_20220825 08,1767.865128268187
