num_date_time,answer
1_20220825 00,2155.0193899101428
1_20220825 01,2062.548296015277
1_20220825 02,1999.9163197150979
1_20220825 03,1917.6168520854521
1_20220825 04,1918.1645650987475
1_20220825 05,2037.8907165888013
1_20220825 06,2246.438248952902
1_20220825 07,2536.5032959590603
1_20220825 08,2936.786270097616
1_20220825 09,3468.4554008952327
1_20220825 10,4104.5658581654025
1_20220825 11,4119.424895650648
1_20220825 12,4195.561532909002
1_20220825 13,4241.1124525953355
1_20220825 14,4216.624708657531
1_20220825 15,3640.703405233748
1_20220825 16,3854.31777351305
1_20220825 17,3427.725270660698
1_20220825 18,2774.4325499690553
1_20220825 19,2554.4039956567963
1_20220825 20,2439.7622740623815
1_20220825 21,2204.21997085817
1_20220825 22,1936.9758347307459
1_20220825 23,2322.3491878443197
1_20220826 00,2255.883266005808
1_20220826 01,2137.53635367095
1_20220826 02,1967.1601192884464
1_20220826 03,1850.8501566751668
1_20220826 04,1713.3937050031368
1_20220826 05,1871.3368906610178
1_20220826 06,2024.4592368633982
1_20220826 07,2313.253348427786
1_20220826 08,2918.9469698554594
1_20220826 09,3389.9689690628134
1_20220826 10,4039.2557596543907
1_20220826 11,4244.198300141654
1_20220826 12,4108.491619323286
1_20220826 13,4221.134611441916
1_20220826 14,4170.71566861814
1_20220826 15,4203.36053832003
1_20220826 16,4106.112562566193
1_20220826 17,3340.2668636536478
1_20220826 18,2784.047117906696
1_20220826 19,2627.714207563906
1_20220826 20,2471.7100051837024
1_20220826 21,2209.145459525768
1_20220826 22,1957.6361591261714
1_20220826 23,2304.249644005529
1_20220827 00,2084.4868181195507
1_20220827 01,1983.4889983660298
1_20220827 02,1817.8868228697747
1_20220827 03,1568.372830923982
1_20220827 04,1780.2604012411628
1_20220827 05,1655.5254704246863
1_20220827 06,1855.3773462266456
1_20220827 07,2044.9430685810087
1_20220827 08,2561.9453447437404
1_20220827 09,2935.1006388413293
1_20220827 10,3361.9677934015667
1_20220827 11,3273.132655779603
1_20220827 12,3372.020032184758
1_20220827 13,3330.1101396455815
1_20220827 14,3318.728721666303
1_20220827 15,3237.4147555247523
1_20220827 16,3190.9116394905504
1_20220827 17,2866.7218579462433
1_20220827 18,2454.229708874342
1_20220827 19,2356.319926915535
1_20220827 20,2246.8166876935434
1_20220827 21,2080.9678749362065
1_20220827 22,1801.3775237315667
1_20220827 23,1906.990275022283
1_20220828 00,1519.2269640544064
1_20220828 01,1369.4019499138308
1_20220828 02,1311.563689347152
1_20220828 03,1289.1323797985606
1_20220828 04,1368.2241090482605
1_20220828 05,1374.9387398022436
1_20220828 06,1511.5690898206778
1_20220828 07,1654.2126005047346
1_20220828 08,1982.9462741131035
1_20220828 09,2362.08428675533
1_20220828 10,2598.2677731427157
1_20220828 11,2762.0109801387985
1_20220828 12,2843.842117546249
1_20220828 13,2933.602569574287
1_20220828 14,2933.9827475361662
1_20220828 15,2993.557030128587
1_20220828 16,2964.864937167776
1_20220828 17,2819.266287565093
1_20220828 18,2513.849191917669
1_20220828 19,2323.4227955914585
1_20220828 20,2152.7654458169577
1_20220828 21,2015.524768513898
1_20220828 22,1824.1823277331102
1_20220828 23,2112.7845479254233
1_20220829 00,2073.163883310074
1_20220829 01,1948.6958213718408
1_20220829 02,1891.6588449182084
1_20220829 03,1838.1736546609905
1_20220829 04,1864.14959160492
1_20220829 05,1813.0077727395676
1_20220829 06,1831.5866421162568
1_20220829 07,2285.9563086109333
1_20220829 08,2577.1715225477365
1_20220829 09,2674.543524530751
1_20220829 10,2844.4762895739714
1_20220829 11,2980.4906641958983
1_20220829 12,3475.682716703813
1_20220829 13,3710.9845440175154
1_20220829 14,3516.245272308808
1_20220829 15,3391.8577180724424
1_20220829 16,3417.023606496188
1_20220829 17,2895.373437511229
1_20220829 18,2378.840940705415
1_20220829 19,2246.974014886765
1_20220829 20,2111.6009927723717
1_20220829 21,1998.7417914267287
1_20220829 22,1706.6011082589075
1_20220829 23,2108.7832534187887
1_20220830 00,2050.9797626864984
1_20220830 01,1936.647182673366
1_20220830 02,1890.8358741975535
1_20220830 03,1462.4819485349335
1_20220830 04,1540.2693523471164
1_20220830 05,1748.2329158979726
1_20220830 06,1921.913471119505
1_20220830 07,2244.886787973528
1_20220830 08,2694.284169247523
1_20220830 09,2741.261445318252
1_20220830 10,3053.462494091269
1_20220830 11,3145.795470686485
1_20220830 12,3037.2506597198308
1_20220830 13,3178.606849466856
1_20220830 14,3253.572158901756
1_20220830 15,3078.4101441651283
1_20220830 16,3208.272157893247
