num_date_time,answer
1_20220825 00,2284.5972559317706
1_20220825 01,2278.888436286588
1_20220825 02,2144.8887868163174
1_20220825 03,2061.2565779185957
1_20220825 04,1966.2653775734925
1_20220825 05,2134.9744654804244
1_20220825 06,2335.433094330052
1_20220825 07,2632.537352263507
1_20220825 08,2965.655622480725
1_20220825 09,3276.8351159975837
1_20220825 10,3914.8292668159843
1_20220825 11,3945.4238686625727
1_20220825 12,4166.449094478995
1_20220825 13,4283.286624632511
1_20220825 14,4052.0358117431138
1_20220825 15,3495.602737018186
1_20220825 16,3763.7765036929636
1_20220825 17,3233.1012112569892
1_20220825 18,2724.5575626614805
1_20220825 19,2607.082055176789
1_20220825 20,2456.9230120065004
1_20220825 21,2403.584514741636
1_20220825 22,2086.3889624261974
1_20220825 23,2426.894854225013
1_20220826 00,2280.610482614813
1_20220826 01,2162.6410923972016
1_20220826 02,2073.6006223100976
1_20220826 03,1801.6481661329658
1_20220826 04,1655.136821240037
1_20220826 05,1779.7636550105653
1_20220826 06,1910.767025812632
1_20220826 07,2137.51202377548
1_20220826 08,2710.72220912603
1_20220826 09,3263.4104750384927
1_20220826 10,3870.277620389633
1_20220826 11,4183.389898390878
1_20220826 12,4059.523651050145
1_20220826 13,4030.564584105884
1_20220826 14,3913.5948198173123
1_20220826 15,4050.8842299610997
1_20220826 16,3982.553107085949
1_20220826 17,3185.2817822252814
1_20220826 18,2710.237499381499
1_20220826 19,2565.961039600908
1_20220826 20,2444.3906258885545
1_20220826 21,2389.8841222702026
1_20220826 22,2028.00491398558
1_20220826 23,2484.484229733467
1_20220827 00,2175.4362882219752
1_20220827 01,2101.569243157242
1_20220827 02,1844.315180401839
1_20220827 03,1587.8065106126598
1_20220827 04,1829.0861048119634
1_20220827 05,1709.0226567925579
1_20220827 06,1858.0581855518462
1_20220827 07,1990.850094783673
1_20220827 08,2606.5740247332515
1_20220827 09,2962.120657518668
1_20220827 10,3379.9954475263658
1_20220827 11,3355.353708488917
1_20220827 12,3365.1918973283728
1_20220827 13,3328.800128774136
1_20220827 14,3291.8551940360776
1_20220827 15,3242.8141954187217
1_20220827 16,3134.2106378574927
1_20220827 17,2792.8767807788768
1_20220827 18,2519.094101732514
1_20220827 19,2481.2130104973685
1_20220827 20,2434.4970720797346
1_20220827 21,2330.0125568943918
1_20220827 22,1997.0877783216226
1_20220827 23,2252.8960528042776
1_20220828 00,1485.5289577157434
1_20220828 01,1407.9967206774354
1_20220828 02,1326.2673815704977
1_20220828 03,1371.5222338086824
1_20220828 04,1415.904920734021
1_20220828 05,1349.1756289043897
1_20220828 06,1470.16348360276
1_20220828 07,1550.3500426263379
1_20220828 08,2067.6426217622984
1_20220828 09,2381.4138333174583
1_20220828 10,2624.944760998967
1_20220828 11,2726.7270754143424
1_20220828 12,2770.687232252937
1_20220828 13,2844.61275298018
1_20220828 14,2814.1471518019707
1_20220828 15,2838.800743389215
1_20220828 16,2830.5464597771047
1_20220828 17,2684.1852532058156
1_20220828 18,2379.162020962371
1_20220828 19,2315.177777039717
1_20220828 20,2211.8692294058205
1_20220828 21,2197.6731717271145
1_20220828 22,1981.7465576778106
1_20220828 23,2338.611316612664
1_20220829 00,2212.4666544957977
1_20220829 01,2047.7933905638306
1_20220829 02,1996.1817769781908
1_20220829 03,1917.2275430799111
1_20220829 04,1902.4031451014914
1_20220829 05,1977.3957637945202
1_20220829 06,2024.7280045924108
