num_date_time,answer
1_20220825 00,1772.3546334162054
1_20220825 01,1387.5814681493632
1_20220825 02,1491.1226292294978
1_20220825 03,1460.1244732976377
1_20220825 04,1404.3561502671375
1_20220825 05,1631.799697958665
1_20220825 06,1695.6157295610008
1_20220825 07,2119.191137763902
1_20220825 08,2687.991275941705
1_20220825 09,3376.6362041749267
1_20220825 10,3596.294868267223
1_20220825 11,3801.564427905237
1_20220825 12,3865.0336138361736
1_20220825 13,4238.8175851874
1_20220825 14,4140.768358061911
1_20220825 15,4272.297644502042
1_20220825 16,3992.5224789159056
1_20220825 17,3571.399889472187
1_20220825 18,2939.5399723483747
1_20220825 19,2717.9433948990486
1_20220825 20,2482.6437091381886
1_20220825 21,2365.9261747669984
1_20220825 22,1787.7919464654815
1_20220825 23,1910.8566268076027
1_20220826 00,1822.7440716946533
1_20220826 01,1633.6041630826232
1_20220826 02,1681.6564218240123
1_20220826 03,1414.643257063971
1_20220826 04,1442.9420518901761
1_20220826 05,1422.0124402104223
1_20220826 06,1774.462283565781
1_20220826 07,2245.599547017677
1_20220826 08,2763.3287049381233
1_20220826 09,3211.128419341192
1_20220826 10,4170.281853345506
1_20220826 11,4108.601226575782
1_20220826 12,4112.548540535271
1_20220826 13,4058.753745387543
1_20220826 14,4314.411591792113
1_20220826 15,4053.4978250877284
1_20220826 16,3990.6222027323697
1_20220826 17,3255.495578991414
1_20220826 18,2721.4176117328516
1_20220826 19,2714.9485608484674
1_20220826 20,2460.8204608546635
1_20220826 21,2417.9752044470492
1_20220826 22,1904.5496526553839
1_20220826 23,2193.2562159728086
1_20220827 00,1720.174910102727
1_20220827 01,1674.8230873179818
1_20220827 02,1364.9110176029621
1_20220827 03,1487.597479760176
1_20220827 04,1491.2863301199623
1_20220827 05,1439.468245513729
1_20220827 06,1817.4912207115408
1_20220827 07,2121.2888089941553
1_20220827 08,2562.403256856489
1_20220827 09,2999.8235108887043
1_20220827 10,3611.285167003838
1_20220827 11,3573.680775273924
1_20220827 12,3695.8379531270566
