num_date_time,answer
1_20220825 00,2051.595992464757
1_20220825 01,2079.00183275225
1_20220825 02,1943.9414359383413
1_20220825 03,1867.3082859041042
1_20220825 04,1773.7511464754152
1_20220825 05,1927.8349001259717
1_20220825 06,2134.469943086015
1_20220825 07,2564.2810004128696
1_20220825 08,3036.807355330479
1_20220825 09,3453.4587381818883
1_20220825 10,4097.994875302477
1_20220825 11,4156.260692407164
1_20220825 12,4339.362585618506
1_20220825 13,4289.194092939905
1_20220825 14,4326.997380547886
1_20220825 15,3536.0711947524023
1_20220825 16,3797.5268287483873
1_20220825 17,3396.038103355477
1_20220825 18,2804.291712441513
1_20220825 19,2631.3655456652195
1_20220825 20,2457.470321689616
1_20220825 21,2015.856123902984
1_20220825 22,1682.024098465776
1_20220825 23,2004.6602618975962
1_20220826 00,2148.58801315302
1_20220826 01,1956.8765037344067
1_20220826 02,1784.254213745756
1_20220826 03,1655.7097760639488
1_20220826 04,1637.5895527533746
1_20220826 05,1981.3834054741703
1_20220826 06,2080.787195184028
1_20220826 07,2491.6091033341086
1_20220826 08,3026.521464082363
1_20220826 09,3537.9353292869746
1_20220826 10,4120.95559381955
1_20220826 11,4301.433119744616
1_20220826 12,4059.4869685970407
1_20220826 13,4138.251360311216
1_20220826 14,3937.9617798805702
1_20220826 15,4063.7367640713323
1_20220826 16,4028.363965606021
1_20220826 17,3251.3357359440943
1_20220826 18,2800.430105320011
1_20220826 19,2634.4571755168968
1_20220826 20,2492.4866875818393
1_20220826 21,2057.4641953448245
1_20220826 22,1578.2358830878895
1_20220826 23,2041.8724255101547
1_20220827 00,2016.51909049094
1_20220827 01,1939.7166950708952
1_20220827 02,1719.1822122685705
1_20220827 03,1636.242395999255
1_20220827 04,1650.0948833060236
1_20220827 05,1787.1310558485127
1_20220827 06,1893.248264772532
1_20220827 07,2214.592084324739
1_20220827 08,2727.44587034829
1_20220827 09,2995.99303572706
1_20220827 10,3450.0241339335084
1_20220827 11,3496.3366832086294
1_20220827 12,3469.715587715721
1_20220827 13,3500.459070698952
1_20220827 14,3408.9643778644977
1_20220827 15,3398.2282540341585
1_20220827 16,3309.8397510925574
1_20220827 17,3007.5044143973755
1_20220827 18,2619.202883126415
1_20220827 19,2509.727189029186
1_20220827 20,2409.9576462429636
1_20220827 21,1952.9044027507796
1_20220827 22,1504.6590851747455
1_20220827 23,1805.4199947809786
1_20220828 00,1473.8181781238893
1_20220828 01,1407.5213436415713
1_20220828 02,1332.4898660034562
1_20220828 03,1214.8606057432346
1_20220828 04,1201.6674508240221
1_20220828 05,1372.6837703655808
1_20220828 06,1399.802364921576
1_20220828 07,1645.9266602104872
1_20220828 08,2078.7976237610824
1_20220828 09,2432.408481404262
1_20220828 10,2695.207936634873
1_20220828 11,2842.7433937029205
1_20220828 12,2840.1442642227207
1_20220828 13,2892.634273029741
1_20220828 14,2891.360791860277
1_20220828 15,2855.271578856395
1_20220828 16,2851.4802012673094
1_20220828 17,2683.0167313553366
1_20220828 18,2463.9892323246177
1_20220828 19,2389.4895998874963
1_20220828 20,2315.0609733637266
1_20220828 21,1950.9494821644303
1_20220828 22,1577.8244955494265
1_20220828 23,1972.5625040224031
1_20220829 00,2038.9915415459063
1_20220829 01,1875.4698311839709
1_20220829 02,1778.8541721396195
1_20220829 03,1670.6548985641173
1_20220829 04,1695.4481414241252
1_20220829 05,1872.803752545451
1_20220829 06,2022.3908532440557
1_20220829 07,2403.682931906943
1_20220829 08,2725.4570555848286
1_20220829 09,2908.157097410575
1_20220829 10,3271.6839197203094
1_20220829 11,3380.6005435823945
1_20220829 12,3338.9159662749375
1_20220829 13,3507.9478970808746
1_20220829 14,3398.480209355556
1_20220829 15,3416.5429612859652
1_20220829 16,3311.8340678093564
1_20220829 17,2813.008259124691
