num_date_time,answer
1_20220825 00,2026.1477717675648
1_20220825 01,2062.506290713174
1_20220825 02,1930.25204000294
1_20220825 03,1829.2014298653157
1_20220825 04,1790.5373769046798
1_20220825 05,1897.9361539665795
1_20220825 06,2127.4176524104364
1_20220825 07,2520.835973219102
1_20220825 08,3034.5146022518484
1_20220825 09,3428.3760809291884
1_20220825 10,4022.027653782568
1_20220825 11,4087.5247993981684
1_20220825 12,4275.212655885442
1_20220825 13,4258.653758597734
1_20220825 14,4211.34372684705
1_20220825 15,3576.6476210395704
1_20220825 16,3835.294851361638
1_20220825 17,3389.5698817218627
1_20220825 18,2815.750514481331
1_20220825 19,2674.8605878819435
1_20220825 20,2456.985344002011
1_20220825 21,1978.992923965562
1_20220825 22,1666.6787866803484
1_20220825 23,2015.4325924251505
1_20220826 00,2071.58150084301
1_20220826 01,1923.1623769541557
1_20220826 02,1811.7901806159994
1_20220826 03,1688.0609980168251
1_20220826 04,1666.0369534143995
1_20220826 05,1890.9873347902853
1_20220826 06,2065.414962345582
1_20220826 07,2459.859589987213
1_20220826 08,3012.0531630588675
1_20220826 09,3492.4891518028517
1_20220826 10,4058.213533769886
1_20220826 11,4310.113050676662
1_20220826 12,4091.309988290359
1_20220826 13,4138.916117248782
1_20220826 14,3996.208475849743
1_20220826 15,4115.438677301987
1_20220826 16,4053.2667817816928
1_20220826 17,3293.6844222701848
1_20220826 18,2838.8596674427854
1_20220826 19,2682.376110591991
1_20220826 20,2545.835862946638
1_20220826 21,2027.2529784895678
1_20220826 22,1578.8395826824194
1_20220826 23,1997.428197650842
1_20220827 00,1964.4190763755332
1_20220827 01,1892.7389607326725
1_20220827 02,1717.9613579139855
1_20220827 03,1639.8629058963763
1_20220827 04,1645.408977713401
1_20220827 05,1749.1537922255138
1_20220827 06,1871.4533540163532
1_20220827 07,2144.5109798372964
1_20220827 08,2569.922233662316
1_20220827 09,2849.839010875225
1_20220827 10,3360.642871188264
1_20220827 11,3367.703860938309
1_20220827 12,3379.0379017620457
1_20220827 13,3377.019027472917
1_20220827 14,3383.4758708509594
1_20220827 15,3356.940593540609
1_20220827 16,3290.392258872458
1_20220827 17,2961.0285068799217
1_20220827 18,2568.8045392508006
1_20220827 19,2390.6329560485333
1_20220827 20,2341.411561701125
1_20220827 21,1934.4414808303018
1_20220827 22,1523.6003316204228
1_20220827 23,1789.5505184018148
1_20220828 00,1440.0607168085744
1_20220828 01,1373.1760437072826
1_20220828 02,1299.1135524865174
1_20220828 03,1233.1858570075615
1_20220828 04,1219.3716544585943
1_20220828 05,1327.7147292514971
1_20220828 06,1435.2279399352858
1_20220828 07,1654.2282483638753
1_20220828 08,1978.7071902497573
1_20220828 09,2254.0501165760857
1_20220828 10,2649.9850142023383
1_20220828 11,2802.5160200740065
1_20220828 12,2845.87618015798
1_20220828 13,2887.5907813114777
1_20220828 14,2879.3284331022946
1_20220828 15,2858.2440255005263
1_20220828 16,2857.169096378079
1_20220828 17,2694.545237629198
1_20220828 18,2473.155323867792
1_20220828 19,2366.212480046827
1_20220828 20,2275.2071612751624
1_20220828 21,1893.7305264118133
1_20220828 22,1542.080115542471
1_20220828 23,1880.7575075592524
1_20220829 00,2044.424333574622
1_20220829 01,1831.8088534704834
1_20220829 02,1798.5623118142153
1_20220829 03,1699.2295236788868
1_20220829 04,1718.060033008039
1_20220829 05,1901.6680069566962
1_20220829 06,2026.7288638214234
1_20220829 07,2350.961276743396
1_20220829 08,2742.053238057378
1_20220829 09,2959.7215519264896
1_20220829 10,3292.555530764727
1_20220829 11,3378.615207397807
