num_date_time,answer
1_20220825 00,2064.370142498644
1_20220825 01,2048.828109067433
1_20220825 02,1957.5505106058363
1_20220825 03,1866.8565578643447
1_20220825 04,1725.7157736712184
1_20220825 05,1939.3425540595506
1_20220825 06,2107.7103065453944
1_20220825 07,2529.2854637132905
1_20220825 08,2967.330805393215
1_20220825 09,3426.918976518583
1_20220825 10,4044.3480958440236
1_20220825 11,4076.780150684555
1_20220825 12,4189.954976186885
1_20220825 13,4289.423469536249
1_20220825 14,4161.5855699176955
1_20220825 15,3530.7915643030906
1_20220825 16,3846.2763748480816
1_20220825 17,3481.012055093496
1_20220825 18,2850.919790482167
1_20220825 19,2697.5054826347487
1_20220825 20,2544.0827172700624
1_20220825 21,2076.6014633364157
1_20220825 22,1668.8071273497392
1_20220825 23,2036.2008135942267
1_20220826 00,2082.449354389021
1_20220826 01,1940.2042663945274
1_20220826 02,1791.7639033719524
1_20220826 03,1728.3868892946698
1_20220826 04,1728.747173969102
1_20220826 05,1920.7200607999514
1_20220826 06,2072.986756325946
1_20220826 07,2453.562101897838
1_20220826 08,2943.6997578894748
1_20220826 09,3399.8988751309425
1_20220826 10,4008.283770961903
1_20220826 11,4287.301847501509
1_20220826 12,4089.6979573994263
1_20220826 13,4197.016493496891
1_20220826 14,4119.787902367998
1_20220826 15,4199.583485746811
1_20220826 16,4093.867409732632
1_20220826 17,3391.1170081722944
1_20220826 18,2802.20632354499
1_20220826 19,2638.7161720494673
1_20220826 20,2539.0773483546504
1_20220826 21,2042.9075518603624
1_20220826 22,1556.4800929001544
1_20220826 23,2034.8437821632463
1_20220827 00,2065.712708628569
1_20220827 01,1942.5750650228003
1_20220827 02,1748.2542658494451
1_20220827 03,1629.5693672496777
1_20220827 04,1594.41723979383
1_20220827 05,1757.3108298775064
1_20220827 06,1919.9889751257497
1_20220827 07,2184.8942436633347
1_20220827 08,2568.098496956166
1_20220827 09,3102.7620086770326
1_20220827 10,3546.0945936348894
1_20220827 11,3530.1987891137655
1_20220827 12,3571.228924220614
1_20220827 13,3529.0291839187844
1_20220827 14,3456.3085509540233
1_20220827 15,3379.1860320720994
1_20220827 16,3261.3675131250993
1_20220827 17,2977.896778831012
1_20220827 18,2571.860665290963
1_20220827 19,2585.8920181346366
1_20220827 20,2393.970712587245
1_20220827 21,2002.7174084935086
1_20220827 22,1567.6275042370157
1_20220827 23,1853.0478979175778
1_20220828 00,1571.682323702884
1_20220828 01,1444.44779416003
1_20220828 02,1387.361453856366
1_20220828 03,1311.4268978692144
1_20220828 04,1299.370199633283
1_20220828 05,1394.5688577280966
1_20220828 06,1461.0404962879227
1_20220828 07,1640.7888607651137
1_20220828 08,2061.2613758967805
1_20220828 09,2422.0171918750634
1_20220828 10,2733.2615633700398
1_20220828 11,2911.2464299342078
1_20220828 12,2818.9805678997013
1_20220828 13,2826.4568857717954
1_20220828 14,2813.570845545077
1_20220828 15,2891.834279655858
1_20220828 16,2902.7221569010862
1_20220828 17,2738.4715045897015
1_20220828 18,2480.997622857312
1_20220828 19,2315.2252613238898
1_20220828 20,2317.276103818338
1_20220828 21,1968.2582009445991
1_20220828 22,1660.6812623584203
1_20220828 23,1995.9087249952174
1_20220829 00,2171.3280087162575
1_20220829 01,1936.8202515605403
1_20220829 02,1831.2647505358295
1_20220829 03,1765.6108128374412
1_20220829 04,1779.6772751037256
1_20220829 05,1965.99085523633
1_20220829 06,2020.9267501074348
1_20220829 07,2298.5337320246203
1_20220829 08,2594.4757201797697
1_20220829 09,2959.7078416271
1_20220829 10,3321.7549806055413
1_20220829 11,3450.9754461795405
1_20220829 12,3397.138266710977
1_20220829 13,3605.308981337213
1_20220829 14,3453.9771792066285
1_20220829 15,3525.184575974611
1_20220829 16,3409.3120337076903
1_20220829 17,2992.0873139182786
1_20220829 18,2545.4356831680834
1_20220829 19,2465.1796210585076
1_20220829 20,2346.8345290024877
1_20220829 21,1910.5576586179548
1_20220829 22,1535.07257854686
