num_date_time,answer
1_20220825 00,2062.7424000123733
1_20220825 01,2070.6750239460716
1_20220825 02,2004.529236660584
1_20220825 03,1875.7822684999624
1_20220825 04,1777.1921524819902
1_20220825 05,1960.114218058336
1_20220825 06,2173.1243298016284
1_20220825 07,2559.589901290211
1_20220825 08,3052.7203156304327
1_20220825 09,3580.7975334123435
1_20220825 10,4200.194178000168
1_20220825 11,4322.326923127526
1_20220825 12,4456.1251511131795
1_20220825 13,4478.23405395189
1_20220825 14,4387.613009293192
1_20220825 15,3990.688164183346
1_20220825 16,4232.899620222999
1_20220825 17,3664.217880471003
1_20220825 18,3033.298878320415
1_20220825 19,2809.733639528953
1_20220825 20,2623.327027259584
1_20220825 21,2061.5438454898776
1_20220825 22,1661.246841864842
1_20220825 23,2083.2451257383645
1_20220826 00,2354.6036531392283
1_20220826 01,2200.7807641230647
1_20220826 02,2025.7872097487289
1_20220826 03,1834.0778568019534
1_20220826 04,1838.3158427471162
1_20220826 05,2101.2090962700754
1_20220826 06,2302.7315214669024
1_20220826 07,2668.877531793526
1_20220826 08,3165.8294982037573
1_20220826 09,3642.0933407329144
1_20220826 10,4292.860425316003
1_20220826 11,4608.365189452778
1_20220826 12,4453.851585434796
1_20220826 13,4476.417601211599
1_20220826 14,4416.638972925475
1_20220826 15,4398.38963417806
1_20220826 16,4265.0583548476625
1_20220826 17,3636.113927581745
1_20220826 18,3078.0338449894775
1_20220826 19,2843.001741003265
1_20220826 20,2579.306135130638
1_20220826 21,2122.820970050411
1_20220826 22,1636.9427265740596
1_20220826 23,2174.335968379888
1_20220827 00,2124.377962442654
1_20220827 01,2035.090899879404
1_20220827 02,1767.501312653596
1_20220827 03,1735.5572397277062
1_20220827 04,1842.9352700012673
1_20220827 05,2010.3840833426887
1_20220827 06,2165.1778389833885
1_20220827 07,2540.8555775762684
1_20220827 08,2842.425747973779
1_20220827 09,3355.775425922426
1_20220827 10,3802.9788077594926
1_20220827 11,3907.1341217792606
1_20220827 12,3936.310754191545
1_20220827 13,4010.796376341593
1_20220827 14,3748.16540381299
1_20220827 15,3627.3365529676553
1_20220827 16,3496.7747764033297
1_20220827 17,3249.1152892286345
1_20220827 18,2628.0930835686295
1_20220827 19,2757.2378179443795
1_20220827 20,2634.551514765664
1_20220827 21,2048.948818047384
1_20220827 22,1666.4455818185309
1_20220827 23,1967.5899724262324
1_20220828 00,1799.5849064717686
1_20220828 01,1724.4456825418981
1_20220828 02,1635.74643833035
1_20220828 03,1583.6648271045215
1_20220828 04,1583.4397672448222
1_20220828 05,1654.299337977522
1_20220828 06,1806.8441798235317
1_20220828 07,1920.9237405937768
1_20220828 08,2306.60821164721
1_20220828 09,2633.2942496521673
1_20220828 10,3028.0739813599594
1_20220828 11,3180.483172870764
1_20220828 12,3069.2965575427224
1_20220828 13,3106.92053210301
1_20220828 14,3093.477727541134
1_20220828 15,3053.605883331255
1_20220828 16,2992.959339641459
1_20220828 17,2802.667933890999
1_20220828 18,2568.6100376093523
1_20220828 19,2447.148829308253
1_20220828 20,2422.2912459556696
1_20220828 21,2090.2720506825003
1_20220828 22,1769.8048611386025
1_20220828 23,2208.6248566809704
1_20220829 00,2493.5436775577823
1_20220829 01,2156.041030092452
1_20220829 02,2030.3101004616594
1_20220829 03,1929.4414585568068
1_20220829 04,1985.6058433976011
1_20220829 05,2172.524557456942
1_20220829 06,2345.389079069351
1_20220829 07,2696.7706118381475
1_20220829 08,3175.7409903095718
1_20220829 09,3479.2522156824953
1_20220829 10,4102.170550069742
1_20220829 11,4330.536967794156
1_20220829 12,4344.334990064187
1_20220829 13,4436.906344848651
1_20220829 14,4283.231300172475
1_20220829 15,4327.11326763704
1_20220829 16,4039.377521194942
1_20220829 17,3538.39393594051
1_20220829 18,3045.122966884363
1_20220829 19,2916.127071772729
1_20220829 20,2694.129471106554
1_20220829 21,2120.6205474440594
1_20220829 22,1621.8774793026832
1_20220829 23,2051.81104354836
1_20220830 00,2155.413371535995
1_20220830 01,2051.125356242987
1_20220830 02,1899.9629880633352
1_20220830 03,1733.2153534084773
1_20220830 04,1749.3223035789674
1_20220830 05,1839.4292530564112
1_20220830 06,2139.637429277334
1_20220830 07,2483.3565568785707
1_20220830 08,3041.891258690907
1_20220830 09,3407.8112259909685
1_20220830 10,4075.0656471207662
1_20220830 11,4373.909517709627
1_20220830 12,4365.161794377885
1_20220830 13,4406.877070895979
1_20220830 14,4324.164741724294
1_20220830 15,4262.209914922415
1_20220830 16,4100.746707021741
1_20220830 17,3500.533864817355
1_20220830 18,2977.903441305871
1_20220830 19,2791.8990504822277
1_20220830 20,2594.339322712126
1_20220830 21,2022.466286000913
1_20220830 22,1583.4672047930064
1_20220830 23,2007.8768841367062
1_20220831 00,2042.9196360425065
1_20220831 01,1867.9927084330216
1_20220831 02,1820.9530028766267
1_20220831 03,1726.692188155675
1_20220831 04,1781.8060093482231
1_20220831 05,1837.7883426530614
1_20220831 06,2117.939438489107
1_20220831 07,2475.856198413381
1_20220831 08,3009.053345326059
1_20220831 09,3393.991143660466
1_20220831 10,4131.761975598037
1_20220831 11,4457.504489274406
1_20220831 12,4463.772428912033
1_20220831 13,4472.3950985139845
1_20220831 14,4472.8772684876
1_20220831 15,4285.604344064127
1_20220831 16,4258.348327540909
1_20220831 17,3562.111295521543
1_20220831 18,2812.5687339107812
1_20220831 19,2738.3099598944304
1_20220831 20,2576.8705223658917
1_20220831 21,1993.9139680534477
1_20220831 22,1543.4679391197371
1_20220831 23,1963.2905201702652
2_20220825 00,1274.8526454001303
2_20220825 01,1285.7948298560395
2_20220825 02,1266.8763671061647
2_20220825 03,1267.925626038021
2_20220825 04,1258.7820679112606
2_20220825 05,1245.5334594570504
2_20220825 06,1285.807513318887
2_20220825 07,1253.7730507842227
2_20220825 08,1765.0461648835922
2_20220825 09,2058.461309708759
2_20220825 10,2380.117350784582
2_20220825 11,2281.231158924489
2_20220825 12,2381.6489428497807
2_20220825 13,2484.9419393523867
2_20220825 14,2471.786682939583
2_20220825 15,2138.175115493806
2_20220825 16,2306.4167536290593
2_20220825 17,2234.407543747274
2_20220825 18,2177.5397571832073
2_20220825 19,2078.6363538493506
2_20220825 20,1878.263308439336
2_20220825 21,1521.1010349073877
2_20220825 22,1040.9908967240422
2_20220825 23,1334.2143113443483
2_20220826 00,1337.026210666175
2_20220826 01,1327.1094963160745
2_20220826 02,1316.6004582959981
2_20220826 03,1272.8555831652018
2_20220826 04,1268.3367345732186
2_20220826 05,1243.116460547189
2_20220826 06,1205.1098235914749
2_20220826 07,1189.9353780718138
2_20220826 08,1732.0059195795975
2_20220826 09,2002.4344854284534
2_20220826 10,2266.2862063188522
2_20220826 11,2274.3429706696184
2_20220826 12,2104.97422085071
2_20220826 13,2113.157106417112
2_20220826 14,2093.9987113962934
2_20220826 15,2271.2704118545516
2_20220826 16,2230.3908563913865
2_20220826 17,2014.6089203510364
2_20220826 18,2005.7363315700275
2_20220826 19,1832.105994986009
2_20220826 20,1735.8559776187512
2_20220826 21,1446.2021977579122
2_20220826 22,947.764017226685
2_20220826 23,1285.6255699610902
2_20220827 00,1277.4106804548587
2_20220827 01,1252.9639719154957
2_20220827 02,1276.4074602167161
2_20220827 03,1266.0603136541838
2_20220827 04,1233.3718708440394
2_20220827 05,1211.9551035227867
2_20220827 06,1081.9257830255406
2_20220827 07,1049.7409227164171
2_20220827 08,1479.8293645928543
2_20220827 09,1784.1773711488497
2_20220827 10,1997.6299252878819
2_20220827 11,2097.310830503956
2_20220827 12,2142.353891649603
2_20220827 13,2232.8396460721424
2_20220827 14,2312.246566565618
2_20220827 15,2267.7012771654236
2_20220827 16,2201.8890342213244
2_20220827 17,2075.5344937343984
2_20220827 18,1716.1850574856771
2_20220827 19,1611.8805113758153
2_20220827 20,1495.6536305244897
2_20220827 21,1213.432884884809
2_20220827 22,835.1974843778952
2_20220827 23,1162.8897763170912
2_20220828 00,1303.0560618105003
2_20220828 01,1281.6264485672518
2_20220828 02,1283.364443179783
2_20220828 03,1262.892123981282
2_20220828 04,1259.5347826843583
2_20220828 05,1075.2247585887346
2_20220828 06,1017.5761781676822
2_20220828 07,964.3656212616025
2_20220828 08,1372.2419237596719
2_20220828 09,1616.3687918198405
2_20220828 10,1901.6808902208188
2_20220828 11,1872.3763556304189
2_20220828 12,1841.3749382460287
2_20220828 13,1880.3739311379898
2_20220828 14,1898.994368232761
2_20220828 15,1922.3630536583933
2_20220828 16,1854.6601876396192
2_20220828 17,1700.015804092372
2_20220828 18,1519.0596335829773
2_20220828 19,1260.871312425394
2_20220828 20,1258.9467907191415
2_20220828 21,1002.9582933940499
2_20220828 22,832.861836338154
2_20220828 23,1278.2121208105525
2_20220829 00,1262.0699591577481
2_20220829 01,1258.0492197744964
2_20220829 02,1276.6320710783043
2_20220829 03,1226.7049032731206
2_20220829 04,1217.076638934055
2_20220829 05,1219.896230239643
2_20220829 06,1244.4668412840833
2_20220829 07,1110.0358607284618
2_20220829 08,1315.325400862656
2_20220829 09,1425.4825686740949
2_20220829 10,1461.2957573343565
2_20220829 11,1507.609013411434
2_20220829 12,1453.5086563919554
2_20220829 13,1595.6204086977016
2_20220829 14,1483.5092977608758
2_20220829 15,1418.0387126683531
2_20220829 16,1423.1125902263163
2_20220829 17,1332.0856614114973
2_20220829 18,1262.0080511878355
2_20220829 19,1229.5825415797697
2_20220829 20,1181.9768554390153
2_20220829 21,966.1996448857027
2_20220829 22,773.4099860781931
2_20220829 23,1130.7434671167703
2_20220830 00,1251.2879594215274
2_20220830 01,1257.0161656179887
2_20220830 02,1241.3317421266042
2_20220830 03,1229.4107743090333
2_20220830 04,1210.0665627330004
2_20220830 05,1114.6697494905206
2_20220830 06,1049.406560489554
2_20220830 07,1067.5322113395428
2_20220830 08,1531.0284821578525
2_20220830 09,1952.2666737605846
2_20220830 10,2152.5020248815413
2_20220830 11,2116.9950579866013
2_20220830 12,2158.1255302915124
2_20220830 13,2254.184375734615
2_20220830 14,2221.361949138676
2_20220830 15,2311.1257753506015
2_20220830 16,2267.9361311577704
2_20220830 17,2201.6152413200366
2_20220830 18,2187.3636537388184
2_20220830 19,2012.3864326617916
2_20220830 20,1864.4963101711571
2_20220830 21,1462.1258758231318
2_20220830 22,969.2059515205227
2_20220830 23,1286.2702816481217
2_20220831 00,1302.6393714639803
2_20220831 01,1259.4101703624783
2_20220831 02,1261.3597901289247
2_20220831 03,1255.3625611242785
2_20220831 04,1237.671291364743
2_20220831 05,1212.8469783643682
2_20220831 06,1232.7204313278107
2_20220831 07,1197.2341346108622
2_20220831 08,1613.7224381493904
2_20220831 09,1972.8786333145981
2_20220831 10,2264.8325159318215
2_20220831 11,2263.5961085200597
2_20220831 12,2250.1834846663273
2_20220831 13,2366.924968206215
2_20220831 14,2401.5621573814806
2_20220831 15,2371.634514973199
2_20220831 16,2433.1330801973945
2_20220831 17,2208.910205226055
2_20220831 18,1980.0207378978882
2_20220831 19,1853.7329042388203
2_20220831 20,1795.7133374461173
2_20220831 21,1420.1594995503467
2_20220831 22,968.9632671362561
2_20220831 23,1254.7962578338102
3_20220825 00,1013.0277640390537
3_20220825 01,1062.5948541907817
3_20220825 02,1065.1788025440005
3_20220825 03,918.1261912896483
3_20220825 04,924.1289903143088
3_20220825 05,918.0161823334844
3_20220825 06,955.797484504398
3_20220825 07,1046.5821153415936
3_20220825 08,1146.501953856783
3_20220825 09,1268.6078366529316
3_20220825 10,1359.5772480322928
3_20220825 11,1362.0129839359756
3_20220825 12,1381.0155837425948
3_20220825 13,1527.0611392791618
3_20220825 14,1567.712277145897
3_20220825 15,1769.5180084722754
3_20220825 16,1917.5429377507037
3_20220825 17,1945.0001666107657
3_20220825 18,2187.043386003557
3_20220825 19,2399.6817383315883
3_20220825 20,2311.90484624209
3_20220825 21,1822.2508401696618
3_20220825 22,1279.6422269096286
3_20220825 23,1031.8486568153007
3_20220826 00,1089.1146329525259
3_20220826 01,1037.1863035053138
3_20220826 02,1023.8802135777634
3_20220826 03,959.8168809244899
3_20220826 04,932.9383173579656
3_20220826 05,918.4310038365586
3_20220826 06,945.4791282139246
3_20220826 07,1076.070352103418
3_20220826 08,1161.1101746566762
3_20220826 09,1269.353580073387
3_20220826 10,1371.5041748250949
3_20220826 11,1437.1497240591964
3_20220826 12,1448.9279274949577
3_20220826 13,1531.5398709290805
3_20220826 14,1646.1359002352244
3_20220826 15,1888.4200347589401
3_20220826 16,2004.2728183675194
3_20220826 17,2033.0322149720098
3_20220826 18,2500.94749202635
3_20220826 19,2652.4868812059376
3_20220826 20,2447.1512389859727
3_20220826 21,1807.9934935292738
3_20220826 22,1365.8544907780524
3_20220826 23,1044.618032805584
3_20220827 00,1006.8444505245828
3_20220827 01,932.4134368037872
3_20220827 02,1001.5705995233691
3_20220827 03,957.6473029481209
3_20220827 04,909.2393502553398
3_20220827 05,884.1097432090977
3_20220827 06,890.4769755122167
3_20220827 07,972.7144404862072
3_20220827 08,1093.1888060185086
3_20220827 09,1150.1521670070442
3_20220827 10,1214.3873223210908
3_20220827 11,1269.6489363723383
3_20220827 12,1330.8555933610444
3_20220827 13,1495.0601693509577
3_20220827 14,1630.0483244273057
3_20220827 15,1651.2833155217493
3_20220827 16,1778.0780681045746
3_20220827 17,1816.9279148915125
3_20220827 18,1749.864197791481
3_20220827 19,2413.5436441014726
3_20220827 20,2147.5737571969908
3_20220827 21,1596.86875796678
3_20220827 22,1249.7255593578282
3_20220827 23,1045.395191652995
3_20220828 00,1081.8713300465754
3_20220828 01,1073.1630215907976
3_20220828 02,1039.2643518353884
